X_Scaled,Y_Scaled,Weird_Depth_Scaled,CMI_Depth_Scaled,Zeros,CMI_Depth,CMI_FileNum,CMI_SurfElev,CMI_Thickness,DICE_FileNum,DICE_IceBase,DICE_SurfElev,DICE_Thickness,Dice_Weird_Depth,Dice_Weird_FileNum,Dice_Weird_SurfElev,Dice_Weird_Thick,SIR_IceBase,SIR_SurfElev_clean,SIR_Thickness,SurfHell_Edit_lidar_edit,The_Weird,Weird_Depth,Weird_FileNum,Weird_SurfElev,X_EPSG_3031,Y_EPSG_3031
-17.21823142,-128.026036,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-172182.3142,-1280260.36
-17.21736793,-128.025941,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-172173.6793,-1280259.41
-17.20914294,-128.0250523,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-172091.4294,-1280250.523
-17.20091319,-128.0242233,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-172009.1319,-1280242.233
-17.19267716,-128.0234842,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-171926.7716,-1280234.842
-17.18443371,-128.0228515,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-171844.3371,-1280228.515
-17.17618165,-128.0223348,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-171761.8165,-1280223.348
-17.16792225,-128.0219424,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-171679.2225,-1280219.424
-17.15965875,-128.0216783,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-171596.5875,-1280216.783
-17.15139243,-128.021531,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-171513.9243,-1280215.31
-17.14312328,-128.0214741,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-171431.2328,-1280214.741
-17.13485464,-128.0214845,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-171348.5464,-1280214.845
-17.12659017,-128.0215414,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-171265.9017,-1280215.414
-17.11833054,-128.021623,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-171183.3054,-1280216.23
-17.11007431,-128.0217092,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-171100.7431,-1280217.092
-17.10182027,-128.0217797,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-171018.2027,-1280217.797
-17.09356717,-128.0218249,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-170935.6717,-1280218.249
-17.08531461,-128.021843,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-170853.1461,-1280218.43
-17.07706268,-128.0218355,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-170770.6268,-1280218.355
-17.06881227,-128.0218096,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-170688.1227,-1280218.096
-17.06056269,-128.0217734,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-170605.6269,-1280217.734
-17.05231371,-128.0217297,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-170523.1371,-1280217.297
-17.04406608,-128.0216773,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-170440.6608,-1280216.773
-17.03581929,-128.0216154,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-170358.1929,-1280216.154
-17.02757241,-128.021549,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-170275.7241,-1280215.49
-17.01932417,-128.0214844,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-170193.2417,-1280214.844
-17.01107427,-128.021426,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-170110.7427,-1280214.26
-17.00282282,-128.0213723,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-170028.2282,-1280213.723
-16.99456992,-128.0213252,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-169945.6992,-1280213.252
-16.98631508,-128.0212852,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-169863.1508,-1280212.852
-16.97805833,-128.0212494,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-169780.5833,-1280212.494
-16.96979953,-128.0212192,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-169697.9953,-1280212.192
-16.96154053,-128.0211997,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-169615.4053,-1280211.997
-16.95328447,-128.0211911,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-169532.8447,-1280211.911
-16.94503013,-128.0211881,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-169450.3013,-1280211.881
-16.93677449,-128.0211843,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-169367.7449,-1280211.843
-16.92851832,-128.021176,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-169285.1832,-1280211.76
-16.9202638,-128.0211631,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-169202.638,-1280211.631
-16.91200943,-128.0211476,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-169120.0943,-1280211.476
-16.9037541,-128.021129,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-169037.541,-1280211.29
-16.89549962,-128.0211085,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-168954.9962,-1280211.085
-16.88724581,-128.0210836,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-168872.4581,-1280210.836
-16.87899052,-128.0210513,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-168789.9052,-1280210.513
-16.87073359,-128.0210121,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-168707.3359,-1280210.121
-16.86247561,-128.0209694,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-168624.7561,-1280209.694
-16.85421879,-128.0209279,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-168542.1879,-1280209.279
-16.84596241,-128.0208908,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-168459.6241,-1280208.908
-16.83770387,-128.0208587,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-168377.0387,-1280208.587
-16.82944338,-128.0208308,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-168294.4338,-1280208.308
-16.82118178,-128.0208061,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-168211.8178,-1280208.061
-16.81291904,-128.0207828,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-168129.1904,-1280207.828
-16.80465514,-128.0207648,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-168046.5514,-1280207.648
-16.79639008,-128.0207526,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-167963.9008,-1280207.526
-16.78812404,-128.0207433,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-167881.2404,-1280207.433
-16.77985641,-128.0207331,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-167798.5641,-1280207.331
-16.77158731,-128.020722,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-167715.8731,-1280207.22
-16.76331646,-128.0207097,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-167633.1646,-1280207.097
-16.75504284,-128.0206938,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-167550.4284,-1280206.938
-16.74676552,-128.0206672,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-167467.6552,-1280206.672
-16.73848507,-128.0206274,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-167384.8507,-1280206.274
-16.73020196,-128.0205743,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-167302.0196,-1280205.743
-16.72191441,-128.0205083,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-167219.1441,-1280205.083
-16.71362044,-128.0204325,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-167136.2044,-1280204.325
-16.70531944,-128.02035,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-167053.1944,-1280203.5
-16.69701343,-128.0202675,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-166970.1343,-1280202.675
-16.68870244,-128.020191,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-166887.0244,-1280201.91
-16.68038506,-128.0201271,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-166803.8506,-1280201.271
-16.67206154,-128.0200762,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-166720.6154,-1280200.762
-16.66373336,-128.0200353,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-166637.3336,-1280200.353
-16.65540142,-128.0200001,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-166554.0142,-1280200.001
-16.64706465,-128.0199684,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-166470.6465,-1280199.684
-16.63872183,-128.0199381,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-166387.2183,-1280199.381
-16.63037316,-128.0199077,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-166303.7316,-1280199.077
-16.62201969,-128.0198771,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-166220.1969,-1280198.771
-16.61366159,-128.0198472,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-166136.6159,-1280198.472
-16.60529713,-128.0198166,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-166052.9713,-1280198.166
-16.59692664,-128.0197849,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-165969.2664,-1280197.849
-16.58855326,-128.0197528,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-165885.5326,-1280197.528
-16.58017771,-128.0197219,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-165801.7771,-1280197.219
-16.57179905,-128.0196925,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-165717.9905,-1280196.925
-16.5634182,-128.0196575,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-165634.182,-1280196.575
