LineNum,unixTime,X_EPSG_3031,Y_EPSG_3031,Weird_SurfElev,The_Weird,Weird_Depth,Weird_FileNum
L870:2005,1480391170.982,13042580.3150464,-2784273.79346661,-14.332590237711,269.69435620591,-284.026946443621,182
L870:2005,1480391171.494,13043069.5517379,-2784386.39945569,-14.332590237711,265.88789976342,-280.220490001131,182
L870:2005,1480391172.006,13043558.7847617,-2784498.96921456,-14.332590237711,260.52332213014,-274.855912367851,182
L870:2005,1480391172.518,13044048.0242362,-2784611.50810934,-14.4278697116,255.8433554023,-270.2712251139,182
L870:2005,1480391173.03,13044537.2833591,-2784724.02056508,-14.713708133264,253.08133191067,-267.795040043934,182
L870:2005,1480391173.478,13044965.3824104,-2784822.45471045,-14.4278697116,251.11313769784,-265.54100740944,182
L870:2005,1480391173.99,13045454.6201589,-2784934.94911091,-14.618428659376,249.10595069353,-263.724379352906,182
L870:2005,1480391174.502,13045943.8379208,-2785047.4481558,-14.808987607152,247.7247773013,-262.533764908452,182
L870:2005,1480391175.014,13046433.0104276,-2785159.95810567,-14.904267081041,249.0996671516,-264.003934232641,182
L870:2005,1480391175.526,13046922.1386594,-2785272.47057384,-14.999546554929,254.58182919055,-269.581375745479,182
L870:2005,1480391175.974,13047350.1037112,-2785370.91689388,-15.094826028817,260.51261180223,-275.607437831047,182
L870:2005,1480391176.486,13047839.1689352,-2785483.42209912,-16.52401813714,267.33375190126,-283.8577700384,182
L870:2005,1480391176.996,13048326.2783667,-2785595.48479776,-15.094826028817,274.02760252931,-289.122428558127,182
L870:2005,1480391177.506,13048813.3508408,-2785707.56147613,-14.999546554929,276.82955101618,-291.829097571109,182
L870:2005,1480391178.018,13049302.2732375,-2785820.09780731,-14.904267081041,273.39236232466,-288.296629405701,182
L870:2005,1480391178.53,13049791.1309217,-2785932.65675487,-14.808987607152,267.44880320722,-282.257790814372,182
L870:2005,1480391178.978,13050218.8617895,-2786031.16993581,-14.808987607152,261.06152733108,-275.870514938232,182
L870:2005,1480391179.49,13050707.6573848,-2786143.78982006,-14.713708133264,253.2239995707,-267.937707703964,182
L870:2005,1480391180.002,13051196.3881507,-2786256.44650762,-14.523149185488,247.74206663314,-262.265215818628,182
L870:2005,1480391180.514,13051685.0798658,-2786369.14467285,-14.523149185488,244.71749379632,-259.240642981808,182
L870:2005,1480391181.026,13052173.7676783,-2786481.87372165,-14.4278697116,242.96979558064,-257.39766529224,182
L870:2005,1480391181.474,13052601.3530461,-2786580.52216526,-14.523149185488,242.51873845303,-257.041887638518,182
L870:2005,1480391181.986,13053090.0268232,-2786693.26779268,-14.713708133264,243.90961093347,-258.623319066734,182
L870:2005,1480391182.498,13053578.7006,-2786806.0213312,-14.332590237711,248.58391559765,-262.916505835361,182
L870:2005,1480391183.01,13054067.3784181,-2786918.76909374,-14.332590237711,255.89777670524,-270.230366942951,182
L870:2005,1480391183.522,13054556.0391365,-2787031.49766508,-14.523149185488,266.93294239923,-281.456091584718,182
L870:2005,1480391183.97,13054983.6142839,-2787130.13211901,-14.618428659376,272.66404254863,-287.282471208006,182
L870:2005,1480391184.482,13055472.2935795,-2787242.85081158,-14.046751816047,271.72183128897,-285.768583105017,182
L870:2005,1480391184.994,13055961.0224821,-2787355.55305894,-14.142031289935,272.87436094291,-287.016392232845,182
L870:2005,1480391185.506,13056449.8183868,-2787468.23938355,-14.046751816047,274.07297111819,-288.119722934237,182
L870:2005,1480391186.018,13056938.7042445,-2787580.92172413,-13.760913394382,264.48249966778,-278.243413062162,182
L870:2005,1480391186.53,13057427.665215,-2787693.60046453,-13.85619286827,250.9847556083,-264.84094847657,182
L870:2005,1480391186.978,13057855.5476505,-2787792.19102349,-13.570354446606,245.23077560533,-258.801130051936,182
L870:2005,1480391187.486,13058340.7629913,-2787903.98609538,-13.570354446606,243.32184012947,-256.892194576076,182
L870:2005,1480391187.998,13058829.8410946,-2788016.66919894,-13.379795498829,243.49175386744,-256.871549366269,182
L870:2005,1480391188.51,13059318.9474186,-2788129.36064214,-13.189236551053,245.3166319221,-258.505868473153,182
L870:2005,1480391189.022,13059808.0668543,-2788242.06253063,-12.998677603276,245.1748588583,-258.173536461576,182
L870:2005,1480391189.47,13060236.0849488,-2788340.69047772,-13.093957077165,241.32273154156,-254.416688618725,182
L870:2005,1480391189.982,13060725.2832889,-2788453.41732699,-12.998677603276,237.10069375781,-250.099371361086,182
L870:2005,1480391190.494,13061214.5130131,-2788566.15248052,-12.8081186555,235.83502498349,-248.64314363899,182
L870:2005,1480391191.006,13061703.7789119,-2788678.89122363,-12.903398129388,235.53928131599,-248.442679445378,182
L870:2005,1480391191.518,13062193.0878914,-2788791.63250529,-12.8081186555,235.24107767938,-248.04919633488,182
L870:2005,1480391192.03,13062682.4189382,-2788904.37763407,-12.8081186555,234.30951733992,-247.11763599542,182
L870:2005,1480391192.478,13063110.6061544,-2789003.03877409,-13.760913394382,233.1701503135,-246.931063707882,182
L870:2005,1480391192.99,13063600.0131726,-2789115.81689606,-12.8081186555,233.3994172239,-246.2075358794,182
L870:2005,1480391193.502,13064089.4555657,-2789228.61603294,-12.712839181612,234.77242548646,-247.485264668072,182
L870:2005,1480391194.014,13064578.9378333,-2789341.44666965,-12.8081186555,236.31195725635,-249.12007591185,182
L870:2005,1480391194.526,13065068.4667439,-2789454.31065951,-12.8081186555,237.8609419316,-250.6690605871,182
L870:2005,1480391194.974,13065496.8408013,-2789553.08644319,-12.998677603276,239.2296690982,-252.228346701476,182
L870:2005,1480391195.486,13065986.4503503,-2789666.00022215,-13.189236551053,241.33786162447,-254.527098175523,182
L870:2005,1480391195.998,13066476.1051947,-2789778.9368472,-13.475074972717,244.76504441179,-258.240119384507,182
L870:2005,1480391196.51,13066965.8150116,-2789891.89670914,-13.570354446606,251.2045261726,-264.774880619206,182
L870:2005,1480391197.019,13067452.6921145,-2790004.21214486,-13.665633920494,259.83239869737,-273.498032617864,182
L870:2005,1480391197.53,13067941.5148379,-2790116.97686491,-13.570354446606,268.63944915095,-282.209803597556,182
L870:2005,1480391197.978,13068370.1067483,-2790215.84048697,-13.760913394382,274.28041646205,-288.041329856432,182
L870:2005,1480391198.49,13068859.9496779,-2790328.82400209,-14.046751816047,274.56324866576,-288.610000481807,182
L870:2005,1480391199.002,13069349.830452,-2790441.80746682,-13.665633920494,271.04673573644,-284.712369656934,182
L870:2005,1480391199.514,13069839.759013,-2790554.79588782,-13.570354446606,266.93653524791,-280.506889694516,182
L870:2005,1480391200.026,13070329.7117007,-2790667.79169156,-13.379795498829,264.19732945309,-277.577124951919,182
L870:2005,1480391200.474,13070758.4273654,-2790766.67310187,-13.379795498829,263.55403736724,-276.933832866069,182
L870:2005,1480391200.986,13071248.4272031,-2790879.69976937,-13.475074972717,264.28646986323,-277.761544835947,182
L870:2005,1480391201.498,13071738.4697382,-2790992.74254134,-13.379795498829,265.72455812754,-279.104353626369,182
L870:2005,1480391202.01,13072228.5457883,-2791105.80222119,-13.379795498829,267.29637841257,-280.676173911399,182
L870:2005,1480391202.522,13072718.6457671,-2791218.88781055,-13.570354446606,269.04354366476,-282.613898111366,182
L870:2005,1480391202.97,13073147.5042127,-2791317.84855384,-13.665633920494,271.3404079742,-285.006041894694,182
L870:2005,1480391203.482,13073637.6315839,-2791430.96065712,-13.760913394382,275.00945724462,-288.770370639002,182
