X_Scale,Y_Scale,Weird_na,Weird_Depth_na,The_Weird,Weird_Depth,Weird_FileNum,Weird_SurfElev,X_EPSG_3031,Y_EPSG_3031,
-9.521341925,-131.0649532,-9999,-9999,,,,,,-95213.41925,-1310649.532
-9.519468289,-131.0648682,-9999,-9999,,,,,,-95194.68289,-1310648.682
-9.510546429,-131.0644842,-9999,-9999,,,,,,-95105.46429,-1310644.842
-9.501632504,-131.0641214,-9999,-9999,,,,,,-95016.32504,-1310641.214
-9.492729962,-131.0637626,-9999,-9999,,,,,,-94927.29962,-1310637.626
-9.483836226,-131.0634046,-9999,-9999,,,,,,-94838.36226,-1310634.046
-9.474946476,-131.063046,-9999,-9999,,,,,,-94749.46476,-1310630.46
-9.466055923,-131.062681,-9999,-9999,,,,,,-94660.55923,-1310626.81
-9.457164628,-131.0622991,-9999,-9999,,,,,,-94571.64628,-1310622.991
-9.448275525,-131.0619012,-9999,-9999,,,,,,-94482.75525,-1310619.012
-9.439389394,-131.0614901,-9999,-9999,,,,,,-94393.89394,-1310614.901
-9.430506159,-131.0610857,-9999,-9999,,,,,,-94305.06159,-1310610.857
-9.421627462,-131.0606667,-9999,-9999,,,,,,-94216.27462,-1310606.667
-9.412756917,-131.0602006,-9999,-9999,,,,,,-94127.56917,-1310602.006
-9.4038951,-131.0596769,-9999,-9999,,,,,,-94038.951,-1310596.769
-9.395037918,-131.0591087,-9999,-9999,,,,,,-93950.37918,-1310591.087
-9.386189977,-131.0584745,-9999,-9999,,,,,,-93861.89977,-1310584.745
-9.377352499,-131.057774,-9999,-9999,,,,,,-93773.52499,-1310577.74
-9.368526031,-131.0569986,-9999,-9999,,,,,,-93685.26031,-1310569.986
-9.35971294,-131.0561374,-9999,-9999,,,,,,-93597.1294,-1310561.374
-9.350915504,-131.0551925,-9999,-9999,,,,,,-93509.15504,-1310551.925
-9.342127214,-131.0541915,-9999,-9999,,,,,,-93421.27214,-1310541.915
-9.333344496,-131.0531548,-9999,-9999,,,,,,-93333.44496,-1310531.548
-9.324571338,-131.0520711,-9999,-9999,,,,,,-93245.71338,-1310520.711
-9.315809603,-131.0509454,-9999,-9999,,,,,,-93158.09603,-1310509.454
-9.307058548,-131.0497809,-9999,-9999,,,,,,-93070.58548,-1310497.809
-9.298314856,-131.0486107,-9999,-9999,,,,,,-92983.14856,-1310486.107
-9.289578989,-131.0474543,-9999,-9999,,,,,,-92895.78989,-1310474.543
-9.280846842,-131.0462983,-9999,-9999,,,,,,-92808.46842,-1310462.983
-9.272120325,-131.0451225,-9999,-9999,,,,,,-92721.20325,-1310451.225
-9.263400609,-131.0439439,-9999,-9999,,,,,,-92634.00609,-1310439.439
-9.254679165,-131.0427638,-9999,-9999,,,,,,-92546.79165,-1310427.638
-9.245958381,-131.0416034,-9999,-9999,,,,,,-92459.58381,-1310416.034
-9.23724796,-131.0404883,-9999,-9999,,,,,,-92372.4796,-1310404.883
-9.228543779,-131.0393878,-9999,-9999,,,,,,-92285.43779,-1310393.878
-9.219836233,-131.038276,-9999,-9999,,,,,,-92198.36233,-1310382.76
-9.211126526,-131.0371268,-9999,-9999,,,,,,-92111.26526,-1310371.268
-9.202425458,-131.035939,-9999,-9999,,,,,,-92024.25458,-1310359.39
-9.193724889,-131.034734,-9999,-9999,,,,,,-91937.24889,-1310347.34
-9.185019302,-131.0335516,-9999,-9999,,,,,,-91850.19302,-1310335.516
-9.176307915,-131.0324438,-9999,-9999,,,,,,-91763.07915,-1310324.438
-9.167575511,-131.0314653,-9999,-9999,,,,,,-91675.75511,-1310314.653
-9.158819525,-131.0306523,-9999,-9999,,,,,,-91588.19525,-1310306.523
-9.150049409,-131.0300253,-9999,-9999,,,,,,-91500.49409,-1310300.253
-9.141276424,-131.0295617,-9999,-9999,,,,,,-91412.76424,-1310295.617
-9.132501152,-131.0292273,-9999,-9999,,,,,,-91325.01152,-1310292.273
-9.12372273,-131.0289902,-9999,-9999,,,,,,-91237.2273,-1310289.902
-9.114945597,-131.0288094,-9999,-9999,,,,,,-91149.45597,-1310288.094
-9.106176602,-131.0286905,-9999,-9999,,,,,,-91061.76602,-1310286.905
-9.097423417,-131.0286052,-9999,-9999,,,,,,-90974.23417,-1310286.052
-9.088669017,-131.028516,-9999,-9999,,,,,,-90886.69017,-1310285.16
-9.079908968,-131.02841,-9999,-9999,,,,,,-90799.08968,-1310284.1
-9.071159225,-131.0282725,-9999,-9999,,,,,,-90711.59225,-1310282.725
-9.062411724,-131.0281228,-9999,-9999,,,,,,-90624.11724,-1310281.228
-9.053660147,-131.0279928,-9999,-9999,,,,,,-90536.60147,-1310279.928
-9.044908892,-131.0278742,-9999,-9999,,,,,,-90449.08892,-1310278.742
-9.03615495,-131.0277559,-9999,-9999,,,,,,-90361.5495,-1310277.559
-9.02740275,-131.027623,-9999,-9999,,,,,,-90274.0275,-1310276.23
-9.018640365,-131.0274948,-9999,-9999,,,,,,-90186.40365,-1310274.948
-9.009872494,-131.0273792,-9999,-9999,,,,,,-90098.72494,-1310273.792
-9.001102113,-131.0272707,-9999,-9999,,,,,,-90011.02113,-1310272.707
-8.992330962,-131.0271661,-9999,-9999,,,,,,-89923.30962,-1310271.661
-8.983556075,-131.0270556,-9999,-9999,,,,,,-89835.56075,-1310270.556
-8.974767427,-131.0269408,-9999,-9999,,,,,,-89747.67427,-1310269.408
-8.96596985,-131.0268222,-9999,-9999,,,,,,-89659.6985,-1310268.222
-8.957162042,-131.0266996,-9999,-9999,,,,,,-89571.62042,-1310266.996
-8.948341842,-131.0265801,-9999,-9999,,,,,,-89483.41842,-1310265.801
-8.939512136,-131.0264698,-9999,-9999,,,,,,-89395.12136,-1310264.698
-8.930669183,-131.0263547,-9999,-9999,,,,,,-89306.69183,-1310263.547
-8.921805578,-131.0262437,-9999,-9999,,,,,,-89218.05578,-1310262.437
-8.912915688,-131.0261394,-9999,-9999,,,,,,-89129.15688,-1310261.394
-8.904008712,-131.0260478,-9999,-9999,,,,,,-89040.08712,-1310260.478
-8.895089153,-131.025953,-9999,-9999,,,,,,-88950.89153,-1310259.53
-8.886145066,-131.0258471,-9999,-9999,,,,,,-88861.45066,-1310258.471
-8.877175011,-131.025736,-9999,-9999,,,,,,-88771.75011,-1310257.36
-8.868185145,-131.025632,-9999,-9999,,,,,,-88681.85145,-1310256.32
-8.859180269,-131.0255413,-9999,-9999,,,,,,-88591.80269,-1310255.413
-8.850152255,-131.0254406,-9999,-9999,,,,,,-88501.52255,-1310254.406
-8.841104172,-131.025333,-9999,-9999,,,,,,-88411.04172,-1310253.33
-8.832042028,-131.025229,-9999,-9999,,,,,,-88320.42028,-1310252.29
-8.822966543,-131.0251358,-9999,-9999,,,,,,-88229.66543,-1310251.358
-8.813874795,-131.025063,-9999,-9999,,,,,,-88138.74795,-1310250.63
-8.804779192,-131.0250218,-9999,-9999,,,,,,-88047.79192,-1310250.218
-8.795676381,-131.0250065,-9999,-9999,,,,,,-87956.76381,-1310250.065
-8.786556277,-131.0249912,-9999,-9999,,,,,,-87865.56277,-1310249.912
-8.777423275,-131.0249607,-9999,-9999,,,,,,-87774.23275,-1310249.607
-8.768285739,-131.0249246,-9999,-9999,,,,,,-87682.85739,-1310249.246
-8.759142561,-131.0248836,-9999,-9999,,,,,,-87591.42561,-1310248.836
-8.749985802,-131.0248096,-9999,-9999,,,,,,-87499.85802,-1310248.096
-8.740819481,-131.0247063,-9999,-9999,,,,,,-87408.19481,-1310247.063
-8.73164865,-131.02459,-9999,-9999,,,,,,-87316.4865,-1310245.9
-8.722470916,-131.0244555,-9999,-9999,,,,,,-87224.70916,-1310244.555
-8.713280428,-131.0243076,-9999,-9999,,,,,,-87132.80428,-1310243.076
-8.70408331,-131.0241637,-9999,-9999,,,,,,-87040.8331,-1310241.637
-8.694893349,-131.0240413,-9999,-9999,,,,,,-86948.93349,-1310240.413
-8.685715093,-131.0239415,-9999,-9999,,,,,,-86857.15093,-1310239.415
-8.676541678,-131.0238643,-9999,-9999,,,,,,-86765.41678,-1310238.643
-8.667377971,-131.0238155,-9999,-9999,,,,,,-86673.77971,-1310238.155
-8.65822817,-131.0237961,-9999,-9999,,,,,,-86582.2817,-1310237.961
-8.649077965,-131.0237941,-9999,-9999,,,,,,-86490.77965,-1310237.941
-8.639930071,-131.0237847,-9999,-9999,,,,,,-86399.30071,-1310237.847
-8.630793817,-131.0237808,-9999,-9999,,,,,,-86307.93817,-1310237.808
-8.621664509,-131.0238063,-9999,-9999,,,,,,-86216.64509,-1310238.063
-8.612530043,-131.0238345,-9999,-9999,,,,,,-86125.30043,-1310238.345
-8.603392149,-131.0238457,-9999,-9999,,,,,,-86033.92149,-1310238.457
-8.594254989,-131.0238268,-9999,-9999,,,,,,-85942.54989,-1310238.268
-8.585115886,-131.0237812,-9999,-9999,,,,,,-85851.15886,-1310237.812
-8.575973672,-131.0237316,-9999,-9999,,,,,,-85759.73672,-1310237.316
-8.566830487,-131.0236928,-9999,-9999,,,,,,-85668.30487,-1310236.928
-8.557688495,-131.0236641,-9999,-9999,,,,,,-85576.88495,-1310236.641
-8.548545394,-131.0236368,-9999,-9999,,,,,,-85485.45394,-1310236.368
-8.539400513,-131.0236088,-9999,-9999,,,,,,-85394.00513,-1310236.088
-8.53025933,-131.0235861,-9999,-9999,,,,,,-85302.5933,-1310235.861
-8.521122794,-131.0235693,-9999,-9999,,,,,,-85211.22794,-1310235.693
-8.51198975,-131.023567,-9999,-9999,,,,,,-85119.8975,-1310235.67
-8.502861104,-131.0235786,-9999,-9999,,,,,,-85028.61104,-1310235.786
