LineNum,LineFull,SCALE_X_ESPG_3031,SCALE_Y_ESPG_3031,SCALE_Dice_SurfElev,,X_EPSG_3031,Y_EPSG_3031,DICE_SurfElev
L840,L840:2004,-17.21823142,-128.026036,,-9999,-172182.3142,-1280260.36,
L840,L840:2004,-17.21736793,-128.025941,,-9999,-172173.6793,-1280259.41,
L840,L840:2004,-17.20914294,-128.0250523,,-9999,-172091.4294,-1280250.523,
L840,L840:2004,-17.20091319,-128.0242233,,-9999,-172009.1319,-1280242.233,
L840,L840:2004,-17.19267716,-128.0234842,,-9999,-171926.7716,-1280234.842,
L840,L840:2004,-17.18443371,-128.0228515,,-9999,-171844.3371,-1280228.515,
L840,L840:2004,-17.17618165,-128.0223348,,-9999,-171761.8165,-1280223.348,
L840,L840:2004,-17.16792225,-128.0219424,,-9999,-171679.2225,-1280219.424,
L840,L840:2004,-17.15965875,-128.0216783,,-9999,-171596.5875,-1280216.783,
L840,L840:2004,-17.15139243,-128.021531,,-9999,-171513.9243,-1280215.31,
L840,L840:2004,-17.14312328,-128.0214741,,-9999,-171431.2328,-1280214.741,
L840,L840:2004,-17.13485464,-128.0214845,,-9999,-171348.5464,-1280214.845,
L840,L840:2004,-17.12659017,-128.0215414,,-9999,-171265.9017,-1280215.414,
L840,L840:2004,-17.11833054,-128.021623,,-9999,-171183.3054,-1280216.23,
L840,L840:2004,-17.11007431,-128.0217092,,-9999,-171100.7431,-1280217.092,
L840,L840:2004,-17.10182027,-128.0217797,,-9999,-171018.2027,-1280217.797,
L840,L840:2004,-17.09356717,-128.0218249,,-9999,-170935.6717,-1280218.249,
L840,L840:2004,-17.08531461,-128.021843,,-9999,-170853.1461,-1280218.43,
L840,L840:2004,-17.07706268,-128.0218355,,-9999,-170770.6268,-1280218.355,
L840,L840:2004,-17.06881227,-128.0218096,,-9999,-170688.1227,-1280218.096,
L840,L840:2004,-17.06056269,-128.0217734,,-9999,-170605.6269,-1280217.734,
L840,L840:2004,-17.05231371,-128.0217297,,-9999,-170523.1371,-1280217.297,
L840,L840:2004,-17.04406608,-128.0216773,,-9999,-170440.6608,-1280216.773,
L840,L840:2004,-17.03581929,-128.0216154,,-9999,-170358.1929,-1280216.154,
L840,L840:2004,-17.02757241,-128.021549,,-9999,-170275.7241,-1280215.49,
L840,L840:2004,-17.01932417,-128.0214844,,-9999,-170193.2417,-1280214.844,
L840,L840:2004,-17.01107427,-128.021426,,-9999,-170110.7427,-1280214.26,
L840,L840:2004,-17.00282282,-128.0213723,,-9999,-170028.2282,-1280213.723,
L840,L840:2004,-16.99456992,-128.0213252,,-9999,-169945.6992,-1280213.252,
L840,L840:2004,-16.98631508,-128.0212852,,-9999,-169863.1508,-1280212.852,
L840,L840:2004,-16.97805833,-128.0212494,,-9999,-169780.5833,-1280212.494,
L840,L840:2004,-16.96979953,-128.0212192,,-9999,-169697.9953,-1280212.192,
L840,L840:2004,-16.96154053,-128.0211997,,-9999,-169615.4053,-1280211.997,
L840,L840:2004,-16.95328447,-128.0211911,,-9999,-169532.8447,-1280211.911,
L840,L840:2004,-16.94503013,-128.0211881,,-9999,-169450.3013,-1280211.881,
L840,L840:2004,-16.93677449,-128.0211843,,-9999,-169367.7449,-1280211.843,
L840,L840:2004,-16.92851832,-128.021176,,-9999,-169285.1832,-1280211.76,
L840,L840:2004,-16.9202638,-128.0211631,,-9999,-169202.638,-1280211.631,
L840,L840:2004,-16.91200943,-128.0211476,,-9999,-169120.0943,-1280211.476,
L840,L840:2004,-16.9037541,-128.021129,,-9999,-169037.541,-1280211.29,
L840,L840:2004,-16.89549962,-128.0211085,,-9999,-168954.9962,-1280211.085,
L840,L840:2004,-16.88724581,-128.0210836,,-9999,-168872.4581,-1280210.836,
L840,L840:2004,-16.87899052,-128.0210513,,-9999,-168789.9052,-1280210.513,
L840,L840:2004,-16.87073359,-128.0210121,,-9999,-168707.3359,-1280210.121,
L840,L840:2004,-16.86247561,-128.0209694,,-9999,-168624.7561,-1280209.694,
L840,L840:2004,-16.85421879,-128.0209279,,-9999,-168542.1879,-1280209.279,
L840,L840:2004,-16.84596241,-128.0208908,,-9999,-168459.6241,-1280208.908,
L840,L840:2004,-16.83770387,-128.0208587,,-9999,-168377.0387,-1280208.587,
L840,L840:2004,-16.82944338,-128.0208308,,-9999,-168294.4338,-1280208.308,
L840,L840:2004,-16.82118178,-128.0208061,,-9999,-168211.8178,-1280208.061,
L840,L840:2004,-16.81291904,-128.0207828,,-9999,-168129.1904,-1280207.828,
L840,L840:2004,-16.80465514,-128.0207648,,-9999,-168046.5514,-1280207.648,
L840,L840:2004,-16.79639008,-128.0207526,,-9999,-167963.9008,-1280207.526,
L840,L840:2004,-16.78812404,-128.0207433,,-9999,-167881.2404,-1280207.433,
L840,L840:2004,-16.77985641,-128.0207331,,-9999,-167798.5641,-1280207.331,
L840,L840:2004,-16.77158731,-128.020722,,-9999,-167715.8731,-1280207.22,
L840,L840:2004,-16.76331646,-128.0207097,,-9999,-167633.1646,-1280207.097,
L840,L840:2004,-16.75504284,-128.0206938,,-9999,-167550.4284,-1280206.938,
L840,L840:2004,-16.74676552,-128.0206672,,-9999,-167467.6552,-1280206.672,
L840,L840:2004,-16.73848507,-128.0206274,,-9999,-167384.8507,-1280206.274,
L840,L840:2004,-16.73020196,-128.0205743,,-9999,-167302.0196,-1280205.743,
L840,L840:2004,-16.72191441,-128.0205083,,-9999,-167219.1441,-1280205.083,
L840,L840:2004,-16.71362044,-128.0204325,,-9999,-167136.2044,-1280204.325,
L840,L840:2004,-16.70531944,-128.02035,,-9999,-167053.1944,-1280203.5,
L840,L840:2004,-16.69701343,-128.0202675,,-9999,-166970.1343,-1280202.675,
L840,L840:2004,-16.68870244,-128.020191,,-9999,-166887.0244,-1280201.91,
L840,L840:2004,-16.68038506,-128.0201271,,-9999,-166803.8506,-1280201.271,
L840,L840:2004,-16.67206154,-128.0200762,,-9999,-166720.6154,-1280200.762,
L840,L840:2004,-16.66373336,-128.0200353,,-9999,-166637.3336,-1280200.353,
L840,L840:2004,-16.65540142,-128.0200001,,-9999,-166554.0142,-1280200.001,
L840,L840:2004,-16.64706465,-128.0199684,,-9999,-166470.6465,-1280199.684,
L840,L840:2004,-16.63872183,-128.0199381,,-9999,-166387.2183,-1280199.381,
L840,L840:2004,-16.63037316,-128.0199077,,-9999,-166303.7316,-1280199.077,
L840,L840:2004,-16.62201969,-128.0198771,,-9999,-166220.1969,-1280198.771,
L840,L840:2004,-16.61366159,-128.0198472,,-9999,-166136.6159,-1280198.472,
L840,L840:2004,-16.60529713,-128.0198166,,-9999,-166052.9713,-1280198.166,
L840,L840:2004,-16.59692664,-128.0197849,,-9999,-165969.2664,-1280197.849,
L840,L840:2004,-16.58855326,-128.0197528,,-9999,-165885.5326,-1280197.528,
L840,L840:2004,-16.58017771,-128.0197219,,-9999,-165801.7771,-1280197.219,
L840,L840:2004,-16.57179905,-128.0196925,,-9999,-165717.9905,-1280196.925,
L840,L840:2004,-16.5634182,-128.0196575,,-9999,-165634.182,-1280196.575,
L840,L840:2004,-16.55503573,-128.0196113,,-9999,-165550.3573,-1280196.113,
L840,L840:2004,-16.54665153,-128.0195559,,-9999,-165466.5153,-1280195.559,
L840,L840:2004,-16.53826546,-128.0194924,,-9999,-165382.6546,-1280194.924,
L840,L840:2004,-16.52987712,-128.0194258,,-9999,-165298.7712,-1280194.258,
L840,L840:2004,-16.52148639,-128.0193593,,-9999,-165214.8639,-1280193.593,
L840,L840:2004,-16.51309287,-128.0192922,,-9999,-165130.9287,-1280192.922,
L840,L840:2004,-16.50469672,-128.0192287,,-9999,-165046.9672,-1280192.287,
L840,L840:2004,-16.49629829,-128.0191714,,-9999,-164962.9829,-1280191.714,
L840,L840:2004,-16.48789725,-128.01912,,-9999,-164878.9725,-1280191.2,
L840,L840:2004,-16.47949336,-128.0190723,,-9999,-164794.9336,-1280190.723,
L840,L840:2004,-16.4710858,-128.0190254,,-9999,-164710.858,-1280190.254,
L840,L840:2004,-16.46267458,-128.0189801,,-9999,-164626.7458,-1280189.801,
L840,L840:2004,-16.45426167,-128.0189355,,-9999,-164542.6167,-1280189.355,
L840,L840:2004,-16.44584681,-128.0188902,,-9999,-164458.4681,-1280188.902,
L840,L840:2004,-16.43742807,-128.0188437,,-9999,-164374.2807,-1280188.437,
L840,L840:2004,-16.42900589,-128.018797,,-9999,-164290.0589,-1280187.97,
L840,L840:2004,-16.4205822,-128.0187507,,-9999,-164205.822,-1280187.507,
L840,L840:2004,-16.41215544,-128.0187055,,-9999,-164121.5544,-1280187.055,
L840,L840:2004,-16.40372464,-128.0186604,,-9999,-164037.2464,-1280186.604,
L840,L840:2004,-16.39529025,-128.018616,,-9999,-163952.9025,-1280186.16,
L840,L840:2004,-16.386852,-128.018574,,-9999,-163868.52,-1280185.74,
L840,L840:2004,-16.37840803,-128.0185345,,-9999,-163784.0803,-1280185.345,
L840,L840:2004,-16.36995931,-128.0185011,,-9999,-163699.5931,-1280185.011,
L840,L840:2004,-16.3615091,-128.0184767,,-9999,-163615.091,-1280184.767,
L840,L840:2004,-16.35305722,-128.0184613,,-9999,-163530.5722,-1280184.613,
L840,L840:2004,-16.34460242,-128.0184499,,-9999,-163446.0242,-1280184.499,
L840,L840:2004,-16.33614551,-128.0184369,,-9999,-163361.4551,-1280184.369,
L840,L840:2004,-16.32768686,-128.0184179,,-9999,-163276.8686,-1280184.179,
L840,L840:2004,-16.31922561,-128.0183918,,-9999,-163192.2561,-1280183.918,
L840,L840:2004,-16.31076197,-128.0183606,,-9999,-163107.6197,-1280183.606,
L840,L840:2004,-16.30229653,-128.0183259,,-9999,-163022.9653,-1280183.259,
L840,L840:2004,-16.29382884,-128.0182882,,-9999,-162938.2884,-1280182.882,
L840,L840:2004,-16.28535799,-128.0182449,,-9999,-162853.5799,-1280182.449,
L840,L840:2004,-16.27688323,-128.0181982,,-9999,-162768.8323,-1280181.982,
L840,L840:2004,-16.26840667,-128.018155,,-9999,-162684.0667,-1280181.55,
L840,L840:2004,-16.25992897,-128.0181178,,-9999,-162599.2897,-1280181.178,
L840,L840:2004,-16.25144914,-128.0180861,,-9999,-162514.4914,-1280180.861,
L840,L840:2004,-16.24296606,-128.0180561,,-9999,-162429.6606,-1280180.561,
L840,L840:2004,-16.23447968,-128.0180219,,-9999,-162344.7968,-1280180.219,
L840,L840:2004,-16.22598981,-128.0179849,,-9999,-162259.8981,-1280179.849,
L840,L840:2004,-16.2174961,-128.0179506,,-9999,-162174.961,-1280179.506,
L840,L840:2004,-16.2090002,-128.0179244,,-9999,-162090.002,-1280179.244,
L840,L840:2004,-16.20050293,-128.0179082,,-9999,-162005.0293,-1280179.082,
L840,L840:2004,-16.19200252,-128.017895,,-9999,-161920.0252,-1280178.95,
L840,L840:2004,-16.18349781,-128.0178776,,-9999,-161834.9781,-1280178.776,
L840,L840:2004,-16.17498988,-128.0178539,,-9999,-161749.8988,-1280178.539,
L840,L840:2004,-16.1664805,-128.0178242,,-9999,-161664.805,-1280178.242,
L840,L840:2004,-16.15797,-128.017789,,-9999,-161579.7,-1280177.89,
L840,L840:2004,-16.14945807,-128.0177474,,-9999,-161494.5807,-1280177.474,
L840,L840:2004,-16.14094481,-128.0176989,,-9999,-161409.4481,-1280176.989,
L840,L840:2004,-16.13243056,-128.0176407,,-9999,-161324.3056,-1280176.407,
L840,L840:2004,-16.12391506,-128.0175751,,-9999,-161239.1506,-1280175.751,
L840,L840:2004,-16.11539827,-128.0175058,,-9999,-161153.9827,-1280175.058,
L840,L840:2004,-16.10688082,-128.0174403,,-9999,-161068.8082,-1280174.403,
L840,L840:2004,-16.09836254,-128.0173829,,-9999,-160983.6254,-1280173.829,
L840,L840:2004,-16.08984257,-128.0173296,,-9999,-160898.4257,-1280173.296,
L840,L840:2004,-16.08132097,-128.0172787,,-9999,-160813.2097,-1280172.787,
L840,L840:2004,-16.07279887,-128.0172333,,-9999,-160727.9887,-1280172.333,
L840,L840:2004,-16.06427737,-128.0171956,,-9999,-160642.7737,-1280171.956,
L840,L840:2004,-16.05575733,-128.0171648,,-9999,-160557.5733,-1280171.648,
L840,L840:2004,-16.04723909,-128.0171356,,-9999,-160472.3909,-1280171.356,
