LineNum,LineFull,SCALE_X_ESPG_3031,SCALE_Y_ESPG_3031,SCALE_Dice_SurfElev,,X_EPSG_3031,Y_EPSG_3031,DICE_SurfElev
T1050,T1050:1016,-16.20281185,-49.65093395,,-9999,-162028.1185,-496509.3395,
T1050,T1050:1016,-16.20805899,-49.65663478,,-9999,-162080.5899,-496566.3478,
T1050,T1050:1016,-16.2143556,-49.66406356,,-9999,-162143.556,-496640.6356,
T1050,T1050:1016,-16.22030302,-49.67175541,,-9999,-162203.0302,-496717.5541,
T1050,T1050:1016,-16.22588915,-49.67969384,,-9999,-162258.8915,-496796.9384,
T1050,T1050:1016,-16.23109824,-49.68786609,,-9999,-162310.9824,-496878.6609,
T1050,T1050:1016,-16.23592449,-49.69625325,,-9999,-162359.2449,-496962.5325,
T1050,T1050:1016,-16.24037781,-49.70482457,,-9999,-162403.7781,-497048.2457,
T1050,T1050:1016,-16.2444495,-49.71356365,,-9999,-162444.495,-497135.6365,
T1050,T1050:1016,-16.24812487,-49.72245895,,-9999,-162481.2487,-497224.5895,
T1050,T1050:1016,-16.25140438,-49.73149213,,-9999,-162514.0438,-497314.9213,
T1050,T1050:1016,-16.25429395,-49.74064179,,-9999,-162542.9395,-497406.4179,
T1050,T1050:1016,-16.25680189,-49.74988737,,-9999,-162568.0189,-497498.8737,
T1050,T1050:1016,-16.25893135,-49.75921404,,-9999,-162589.3135,-497592.1404,
T1050,T1050:1016,-16.26070088,-49.76860172,,-9999,-162607.0088,-497686.0172,
T1050,T1050:1016,-16.26214949,-49.77803124,,-9999,-162621.4949,-497780.3124,
T1050,T1050:1016,-16.26334067,-49.78748244,,-9999,-162633.4067,-497874.8244,
T1050,T1050:1016,-16.26435653,-49.79694312,,-9999,-162643.5653,-497969.4312,
T1050,T1050:1016,-16.26528795,-49.80639878,,-9999,-162652.8795,-498063.9878,
T1050,T1050:1016,-16.2662137,-49.81584207,,-9999,-162662.137,-498158.4207,
T1050,T1050:1016,-16.26718008,-49.82526979,,-9999,-162671.8008,-498252.6979,
T1050,T1050:1016,-16.26821419,-49.83467609,,-9999,-162682.1419,-498346.7609,
T1050,T1050:1016,-16.26933555,-49.84405619,,-9999,-162693.3555,-498440.5619,
T1050,T1050:1016,-16.2705542,-49.85340848,,-9999,-162705.542,-498534.0848,
T1050,T1050:1016,-16.27185488,-49.86273939,,-9999,-162718.5488,-498627.3939,
T1050,T1050:1016,-16.27324022,-49.8720485,,-9999,-162732.4022,-498720.485,
T1050,T1050:1016,-16.27471111,-49.8813344,,-9999,-162747.1111,-498813.344,
T1050,T1050:1016,-16.27629259,-49.89059345,,-9999,-162762.9259,-498905.9345,
T1050,T1050:1016,-16.27797252,-49.89982754,,-9999,-162779.7252,-498998.2754,
T1050,T1050:1016,-16.2797128,-49.90904241,,-9999,-162797.128,-499090.4241,
T1050,T1050:1016,-16.28148644,-49.91824176,,-9999,-162814.8644,-499182.4176,
T1050,T1050:1016,-16.28327331,-49.92743404,,-9999,-162832.7331,-499274.3404,
