LineNum,unixTime,X_EPSG_3031,Y_EPSG_3031,Weird_SurfElev,The_Weird,Weird_Depth,Weird_FileNum
L840:2004,1480301872.002,13108927.2421913,-2733717.00281219,-12.998677603276,281.74728503567,-294.745962638946,167
L840:2004,1480301872.514,13109406.7131477,-2733825.27277773,-13.093957077165,276.10957259063,-289.203529667795,167
L840:2004,1480301873.026,13109886.1520543,-2733933.62923745,-13.284516024941,273.69736548281,-286.981881507751,167
L840:2004,1480301873.474,13110305.5610355,-2734028.49921406,-13.189236551053,272.48066817253,-285.669904723583,167
L840:2004,1480301873.986,13110784.8728245,-2734136.93958535,-13.284516024941,270.53813099443,-283.822647019371,167
L840:2004,1480301874.498,13111264.1695986,-2734245.38195889,-13.189236551053,267.8464634847,-281.035700035753,167
L840:2004,1480301875.01,13111743.3696991,-2734353.84355413,-12.8081186555,265.56649172698,-278.37461038248,167
L840:2004,1480301875.522,13112222.4468139,-2734462.31601347,-12.522280233835,264.22833932642,-276.750619560255,167
L840:2004,1480301875.97,13112641.6493155,-2734557.23871784,-12.236441812171,263.19907288998,-275.435514702151,167
L840:2004,1480301876.478,13113117.0109248,-2734664.91238199,-11.855323916618,261.15808135551,-273.013405272128,167
L840:2004,1480301876.99,13113596.1410245,-2734773.42183217,-11.474206021065,259.16391787546,-270.638123896525,167
L840:2004,1480301877.502,13114075.3900901,-2734881.898629,-11.474206021065,256.93442387124,-268.408629892305,167
L840:2004,1480301878.014,13114554.772632,-2734990.31019985,-10.902529177736,254.62714138445,-265.529670562186,167
L840:2004,1480301878.526,13115034.223463,-2735098.652431,-10.711970229959,252.47572266778,-263.187692897739,167
L840:2004,1480301878.974,13115453.7328082,-2735193.44314263,-10.521411282183,251.46007586005,-261.981487142233,167
L840:2004,1480301879.486,13115933.1321757,-2735301.79591354,-10.045013912742,251.89057268868,-261.935586601422,167
L840:2004,1480301879.998,13116412.5013301,-2735410.18076719,-9.8544549649654,254.65356056063,-264.508015525595,167
L840:2004,1480301880.51,13116891.7963427,-2735518.62100914,-9.5686165433008,260.78971359434,-270.358330137641,167
L840:2004,1480301881.022,13117371.0666272,-2735627.05081808,-9.2827781216362,268.90707681802,-278.189854939656,167
