LineNum,LineFull,unixTime,UTCDate,UTCsod,UTCTime,Latitude,Longitude,X_EPSG_3031,Y_EPSG_3031,DICE_SurfElev,DICE_Thickness,DICE_IceBase,DICE_FileNum
L840,L840:2004,1480298766.895,2016/11/28,7566.895,02:06:07,-78.1515327562,-172.340247672,-172182.314238129,-1280260.36008789,,,,
L840,L840:2004,1480298767,2016/11/28,7567,02:06:07,-78.1515518219,-172.340621627,-172173.679345076,-1280259.40957902,,,,
L840,L840:2004,1480298768,2016/11/28,7568,02:06:08,-78.1517318922,-172.34418471,-172091.42940549,-1280250.52307104,,,,
L840,L840:2004,1480298769,2016/11/28,7569,02:06:09,-78.1519065869,-172.347753518,-172009.13189492,-1280242.23333092,,,,
L840,L840:2004,1480298770,2016/11/28,7570,02:06:10,-78.1520732023,-172.351330497,-171926.77155617,-1280234.84184684,,,,
L840,L840:2004,1480298771,2016/11/28,7571,02:06:11,-78.1522302466,-172.354917119,-171844.33712374,-1280228.5153271,,,,
L840,L840:2004,1480298772,2016/11/28,7572,02:06:12,-78.1523768878,-172.358514459,-171761.816530493,-1280223.34750022,,,,
L840,L840:2004,1480298773,2016/11/28,7573,02:06:13,-78.1525123396,-172.362122451,-171679.222513506,-1280219.42370047,,,,
L840,L840:2004,1480298774,2016/11/28,7574,02:06:14,-78.1526362068,-172.365739891,-171596.587510794,-1280216.78330466,,,,
L840,L840:2004,1480298775,2016/11/28,7575,02:06:15,-78.1527495271,-172.369365519,-171513.924312383,-1280215.30962645,,,,
L840,L840:2004,1480298776,2016/11/28,7576,02:06:16,-78.1528546658,-172.37299779,-171431.232760922,-1280214.74068221,,,,
L840,L840:2004,1480298777,2016/11/28,7577,02:06:17,-78.1529536731,-172.37663386,-171348.546377101,-1280214.84488841,,,,
L840,L840:2004,1480298778,2016/11/28,7578,02:06:18,-78.1530483815,-172.380270893,-171265.901727967,-1280215.41438144,,,,
L840,L840:2004,1480298779,2016/11/28,7579,02:06:19,-78.1531407597,-172.383907307,-171183.305430266,-1280216.23023456,,,,
L840,L840:2004,1480298780,2016/11/28,7580,02:06:20,-78.153232638,-172.387542553,-171100.743086502,-1280217.09166681,,,,
L840,L840:2004,1480298781,2016/11/28,7581,02:06:21,-78.1533258513,-172.391175973,-171018.202718417,-1280217.79706788,,,,
L840,L840:2004,1480298782,2016/11/28,7582,02:06:22,-78.1534212912,-172.394807552,-170935.67173578,-1280218.24938289,,,,
L840,L840:2004,1480298783,2016/11/28,7583,02:06:23,-78.1535191302,-172.398437361,-170853.146093691,-1280218.43005578,,,,
L840,L840:2004,1480298784,2016/11/28,7584,02:06:24,-78.1536192244,-172.402065452,-170770.62676889,-1280218.35490071,,,,
L840,L840:2004,1480298785,2016/11/28,7585,02:06:25,-78.1537209146,-172.405691853,-170688.122746147,-1280218.09573148,,,,
L840,L840:2004,1480298786,2016/11/28,7586,02:06:26,-78.1538234703,-172.409317359,-170605.626888076,-1280217.7344063,,,,
L840,L840:2004,1480298787,2016/11/28,7587,02:06:27,-78.153926658,-172.412942214,-170523.137145263,-1280217.29706103,,,,
L840,L840:2004,1480298788,2016/11/28,7588,02:06:28,-78.1540305656,-172.416566036,-170440.660793096,-1280216.77299571,,,,
L840,L840:2004,1480298789,2016/11/28,7589,02:06:29,-78.1541352733,-172.420188996,-170358.192864631,-1280216.15399437,,,,
L840,L840:2004,1480298790,2016/11/28,7590,02:06:30,-78.1542403417,-172.423811795,-170275.724073106,-1280215.48995596,,,,
L840,L840:2004,1480298791,2016/11/28,7591,02:06:31,-78.1543452192,-172.427435359,-170193.241715422,-1280214.84365468,,,,
L840,L840:2004,1480298792,2016/11/28,7592,02:06:32,-78.1544495024,-172.431060089,-170110.742661014,-1280214.26017574,,,,
L840,L840:2004,1480298793,2016/11/28,7593,02:06:33,-78.1545533402,-172.43468583,-170028.228209308,-1280213.72285262,,,,
L840,L840:2004,1480298794,2016/11/28,7594,02:06:34,-78.1546565461,-172.438312663,-169945.699235728,-1280213.25221746,,,,
L840,L840:2004,1480298795,2016/11/28,7595,02:06:35,-78.1547590967,-172.441940822,-169863.150836967,-1280212.85150749,,,,
