__X_EPSG_3031,__Y_EPSG_3031,CMI_Depth,CMI_FileNum,CMI_SurfElev,CMI_Thickness,DICE_FileNum,DICE_IceBase,DICE_SurfElev,DICE_Thickness,H_Ell,Heading,Latitude,LineFull,LineNum,Longitude,NS,PDOP,Pitch,Roll,SIR_FileNum,SIR_IceBase,SIR_SurfElev_clean,SIR_Thickness,SurfHell_Edit_lidar_edit,The_Weird,unix_sec,unixTime,UTCDate,UTCsod,UTCTime,Weird_Depth,Weird_FileNum,Weird_SurfElev,X_EPSG_3031,Y_EPSG_3031
-95236.0279831342,-1310960.75012081,,,,,,,,,898.13,-94.371542,-77.9482762286,L870:2005,L870,-175.844990977,9,2.53,4.287767,-1.004588,,,,,,,1480389110,1480389110.79,2016/11/29,11510.79,03:11:51,,,,-95213.4192527122,-1310649.53220443
-95217.28717016,-1310959.89963505,,,,,,,,,898.081,-94.321843,-77.9482963121,L870:2005,L870,-175.845803063,9,2.53,4.338398,-1.159427,,,,,,,1480389111,1480389111,2016/11/29,11511,03:11:51,,,,-95194.6828887475,-1310648.68192057
-95128.0473845222,-1310956.05898262,,,,,,,,,897.888,-94.248193,-77.9483900131,L870:2005,L870,-175.849670742,9,2.53,4.504916,-1.869414,,,,,,,1480389112,1480389112,2016/11/29,11512,03:11:52,,,,-95105.4642883513,-1310644.8421799
-95038.886967898,-1310952.43000221,,,,,,,,,897.633,-94.445518,-77.9484816853,L870:2005,L870,-175.853535698,9,2.53,4.590174,-2.100425,,,,,,,1480389113,1480389113,2016/11/29,11513,03:11:53,,,,-95016.3250381266,-1310641.214061
-94949.8404067135,-1310948.84101859,,,,,,,,,897.448,-94.557887,-77.948572865,L870:2005,L870,-175.857395889,9,2.53,4.5814,-2.644448,,,,,,,1480389114,1480389114,2016/11/29,11514,03:11:54,,,,-94927.2996163128,-1310637.6259294
-94860.8819322123,-1310945.26030768,,,,,,,,,897.639,-94.571009,-77.9486638574,L870:2005,L870,-175.861252335,9,2.53,4.250944,-2.963534,,,,,,,1480389115,1480389115,2016/11/29,11515,03:11:55,,,,-94838.3622602708,-1310634.04606853
-94771.9633224792,-1310941.67375274,,,,,,,,,897.862,-94.81949,-77.9487548225,L870:2005,L870,-175.865107088,9,2.53,3.960485,-2.753648,,,,,,,1480389116,1480389116,2016/11/29,11516,03:11:56,,,,-94749.4647595331,-1310630.46036503
-94683.0366812703,-1310938.02230219,,,,,,,,,897.657,-95.101186,-77.948846328,L870:2005,L870,-175.868962045,9,2.53,4.062633,-2.849114,,,,,,,1480389117,1480389117,2016/11/29,11517,03:11:57,,,,-94660.5592292262,-1310626.80978132
-94594.1026162748,-1310934.20296551,,,,,,,,,897.224,-95.079279,-77.9489393087,L870:2005,L870,-175.872816857,9,2.53,4.193406,-3.164019,,,,,,,1480389118,1480389118,2016/11/29,11518,03:11:58,,,,-94571.6462768951,-1310622.99135134
-94505.1904815453,-1310930.22240445,,,,,,,,,896.576,-95.07802,-77.9490336849,L870:2005,L870,-175.87667027,9,2.53,4.23092,-3.25435,,,,,,,1480389119,1480389119,2016/11/29,11519,03:11:59,,,,-94482.7552496239,-1310619.01173526
-94416.3080732943,-1310926.1105248,,,,,,,,,895.834,-95.180612,-77.94912918,L870:2005,L870,-175.88052204,9,2.53,4.256274,-2.565439,,,,,,,1480389120,1480389120,2016/11/29,11520,03:12:00,,,,-94393.8939417742,-1310614.90083175
-94327.4546244267,-1310922.06599903,,,,,,,,,894.971,-95.389117,-77.9492239905,L870:2005,L870,-175.884372823,9,2.53,4.232969,-3.989665,,,,,,,1480389121,1480389121,2016/11/29,11521,03:12:01,,,,-94305.061586433,-1310610.85726614
-94238.6465719621,-1310917.87492386,,,,,,,,,893.977,-95.700592,-77.9493200481,L870:2005,L870,-175.888221235,9,2.53,4.477581,-5.287456,,,,,,,1480389122,1480389122,2016/11/29,11522,03:12:02,,,,-94216.2746167179,-1310606.66718591
-94149.9200572301,-1310913.21239476,,,,,,,,,893.469,-96.009679,-77.9494202797,L870:2005,L870,-175.892064691,9,2.53,4.437117,-6.171629,,,,,,,1480389123,1480389123,2016/11/29,11523,03:12:03,,,,-94127.5691653785,-1310602.00576369
-94061.28084707,-1310907.97451685,,,,,,,,,893.294,-96.28748,-77.9495256252,L870:2005,L870,-175.89590262,9,2.53,4.131672,-6.270155,,,,,,,1480389124,1480389124,2016/11/29,11524,03:12:04,,,,-94038.9509978853,-1310596.76912923
-93972.6879989435,-1310902.29149737,,,,,,,,,892.874,-97.09543,-77.9496349291,L870:2005,L870,-175.899737213,9,2.53,4.376581,-6.276415,,,,,,,1480389125,1480389125,2016/11/29,11525,03:12:05,,,,-93950.3791814194,-1310591.08745889
-93884.1875768577,-1310895.94766139,,,,,,,,,892.863,-97.735082,-77.9497501201,L870:2005,L870,-175.903565799,9,2.53,4.397966,-6.361885,,,,,,,1480389126,1480389126,2016/11/29,11526,03:12:06,,,,-93861.8997690526,-1310584.7451289
-93795.7918163576,-1310888.94061997,,,,,,,,,892.792,-98.27056,-77.9498712122,L870:2005,L870,-175.907387844,9,2.53,4.342151,-6.592408,,,,,,,1480389127,1480389127,2016/11/29,11527,03:12:07,,,,-93773.5249934252,-1310577.73975094
-93707.506171171,-1310881.18502287,,,,,,,,,892.474,-98.6821,-77.9499989772,L870:2005,L870,-175.911202851,9,2.53,4.438431,-6.790387,,,,,,,1480389128,1480389128,2016/11/29,11528,03:12:08,,,,-93685.2603069703,-1310569.98599499
