X_Scale,Y_Scale,H_Ell_Scale,NS,CMI_na,Weird_Depth_na,CMI_Depth,CMI_FileNum,CMI_SurfElev,CMI_Thickness,DICE_FileNum,DICE_IceBase,DICE_SurfElev,DICE_Thickness,H_Ell,SIR_IceBase,SIR_SurfElev_clean,SIR_Thickness,SurfHell_Edit_lidar_edit,The_Weird,Weird_Depth,Weird_FileNum,Weird_SurfElev,X_EPSG_3031,Y_EPSG_3031,
-9.521341925,-131.0649532,8.98193,9,-9999,-9999,,,,,,,,,898.13,,,,,,,,,,-95213.41925,-1310649.532
-9.519468289,-131.0648682,8.98349,9,-9999,-9999,,,,,,,,,898.081,,,,,,,,,,-95194.68289,-1310648.682
-9.510546429,-131.0644842,8.98503,9,-9999,-9999,,,,,,,,,897.888,,,,,,,,,,-95105.46429,-1310644.842
-9.501632504,-131.0641214,8.98628,9,-9999,-9999,,,,,,,,,897.633,,,,,,,,,,-95016.32504,-1310641.214
-9.492729962,-131.0637626,8.98755,9,-9999,-9999,,,,,,,,,897.448,,,,,,,,,,-94927.29962,-1310637.626
-9.483836226,-131.0634046,8.98917,9,-9999,-9999,,,,,,,,,897.639,,,,,,,,,,-94838.36226,-1310634.046
-9.474946476,-131.063046,8.99085,9,-9999,-9999,,,,,,,,,897.862,,,,,,,,,,-94749.46476,-1310630.46
-9.466055923,-131.062681,8.99259,9,-9999,-9999,,,,,,,,,897.657,,,,,,,,,,-94660.55923,-1310626.81
-9.457164628,-131.0622991,8.99447,9,-9999,-9999,,,,,,,,,897.224,,,,,,,,,,-94571.64628,-1310622.991
-9.448275525,-131.0619012,8.99632,9,-9999,-9999,,,,,,,,,896.576,,,,,,,,,,-94482.75525,-1310619.012
-9.439389394,-131.0614901,8.99878,9,-9999,-9999,,,,,,,,,895.834,,,,,,,,,,-94393.89394,-1310614.901
-9.430506159,-131.0610857,9.00171,9,-9999,-9999,,,,,,,,,894.971,,,,,,,,,,-94305.06159,-1310610.857
-9.421627462,-131.0606667,9.00466,9,-9999,-9999,,,,,,,,,893.977,,,,,,,,,,-94216.27462,-1310606.667
-9.412756917,-131.0602006,9.00729,9,-9999,-9999,,,,,,,,,893.469,,,,,,,,,,-94127.56917,-1310602.006
-9.4038951,-131.0596769,9.0094,9,-9999,-9999,,,,,,,,,893.294,,,,,,,,,,-94038.951,-1310596.769
-9.395037918,-131.0591087,9.0112,9,-9999,-9999,,,,,,,,,892.874,,,,,,,,,,-93950.37918,-1310591.087
-9.386189977,-131.0584745,9.01289,9,-9999,-9999,,,,,,,,,892.863,,,,,,,,,,-93861.89977,-1310584.745
-9.377352499,-131.057774,9.01532,9,-9999,-9999,,,,,,,,,892.792,,,,,,,,,,-93773.52499,-1310577.74
-9.368526031,-131.0569986,9.01791,9,-9999,-9999,,,,,,,,,892.474,,,,,,,,,,-93685.26031,-1310569.986
-9.35971294,-131.0561374,9.01974,9,-9999,-9999,,,,,,,,,892.261,,,,,,,,,,-93597.1294,-1310561.374
-9.350915504,-131.0551925,9.02038,9,-9999,-9999,,,,,,,,,892.418,,,,,,,,,,-93509.15504,-1310551.925
-9.342127214,-131.0541915,9.02103,9,-9999,-9999,,,,,,,,,892.512,,,,,,,,,,-93421.27214,-1310541.915
-9.333344496,-131.0531548,9.02406,9,-9999,-9999,,,,,,,,,892.325,,,,,,,,,,-93333.44496,-1310531.548
-9.324571338,-131.0520711,9.02603,9,-9999,-9999,,,,,,,,,892.14,,,,,,,,,,-93245.71338,-1310520.711
-9.315809603,-131.0509454,9.02626,9,-9999,-9999,,,,,,,,,891.982,,,,,,,,,,-93158.09603,-1310509.454
-9.307058548,-131.0497809,9.02685,9,-9999,-9999,,,,,,,,,891.492,,,,,,,,,,-93070.58548,-1310497.809
-9.298314856,-131.0486107,9.02785,9,-9999,-9999,,,,,,,,,891.241,,,,,,,,,,-92983.14856,-1310486.107
-9.289578989,-131.0474543,9.02897,9,-9999,-9999,,,,,,,,,891.087,,,,,,,,,,-92895.78989,-1310474.543
-9.280846842,-131.0462983,9.03031,9,-9999,-9999,,,,,,,,,890.522,,,,,,,,,,-92808.46842,-1310462.983
-9.272120325,-131.0451225,9.03148,9,-9999,-9999,,,,,,,,,890.351,,,,,,,,,,-92721.20325,-1310451.225
-9.263400609,-131.0439439,9.03279,9,-9999,-9999,,,,,,,,,890.268,,,,,,,,,,-92634.00609,-1310439.439
-9.254679165,-131.0427638,9.0349,9,-9999,-9999,,,,,,,,,889.398,,,,,,,,,,-92546.79165,-1310427.638
-9.245958381,-131.0416034,9.03725,9,-9999,-9999,,,,,,,,,888.394,,,,,,,,,,-92459.58381,-1310416.034
-9.23724796,-131.0404883,9.03836,9,-9999,-9999,,,,,,,,,887.826,,,,,,,,,,-92372.4796,-1310404.883
-9.228543779,-131.0393878,9.03911,9,-9999,-9999,,,,,,,,,887.827,,,,,,,,,,-92285.43779,-1310393.878
-9.219836233,-131.038276,9.03966,9,-9999,-9999,,,,,,,,,887.487,,,,,,,,,,-92198.36233,-1310382.76
-9.211126526,-131.0371268,9.03981,9,-9999,-9999,,,,,,,,,887.139,,,,,,,,,,-92111.26526,-1310371.268
-9.202425458,-131.035939,9.04022,9,-9999,-9999,,,,,,,,,887.003,,,,,,,,,,-92024.25458,-1310359.39
-9.193724889,-131.034734,9.0413,9,-9999,-9999,,,,,,,,,886.424,,,,,,,,,,-91937.24889,-1310347.34
-9.185019302,-131.0335516,9.04104,9,-9999,-9999,,,,,,,,,885.655,,,,,,,,,,-91850.19302,-1310335.516
-9.176307915,-131.0324438,9.03972,9,-9999,-9999,,,,,,,,,885.211,,,,,,,,,,-91763.07915,-1310324.438
-9.167575511,-131.0314653,9.03873,9,-9999,-9999,,,,,,,,,884.666,,,,,,,,,,-91675.75511,-1310314.653
-9.158819525,-131.0306523,9.03773,9,-9999,-9999,,,,,,,,,884.039,,,,,,,,,,-91588.19525,-1310306.523
-9.150049409,-131.0300253,9.03611,9,-9999,-9999,,,,,,,,,883.577,,,,,,,,,,-91500.49409,-1310300.253
-9.141276424,-131.0295617,9.03424,9,-9999,-9999,,,,,,,,,883.538,,,,,,,,,,-91412.76424,-1310295.617
-9.132501152,-131.0292273,9.03178,9,-9999,-9999,,,,,,,,,883.862,,,,,,,,,,-91325.01152,-1310292.273
-9.12372273,-131.0289902,9.02843,9,-9999,-9999,,,,,,,,,884.155,,,,,,,,,,-91237.2273,-1310289.902
-9.114945597,-131.0288094,9.02483,9,-9999,-9999,,,,,,,,,884.32,,,,,,,,,,-91149.45597,-1310288.094
-9.106176602,-131.0286905,9.02143,9,-9999,-9999,,,,,,,,,885.186,,,,,,,,,,-91061.76602,-1310286.905
-9.097423417,-131.0286052,9.01746,9,-9999,-9999,,,,,,,,,886.992,,,,,,,,,,-90974.23417,-1310286.052
-9.088669017,-131.028516,9.01283,9,-9999,-9999,,,,,,,,,888.407,,,,,,,,,,-90886.69017,-1310285.16
-9.079908968,-131.02841,9.00864,9,-9999,-9999,,,,,,,,,889.569,,,,,,,,,,-90799.08968,-1310284.1
-9.071159225,-131.0282725,9.00529,9,-9999,-9999,,,,,,,,,891.426,,,,,,,,,,-90711.59225,-1310282.725
-9.062411724,-131.0281228,9.00196,9,-9999,-9999,,,,,,,,,893.208,,,,,,,,,,-90624.11724,-1310281.228
-9.053660147,-131.0279928,8.99837,9,-9999,-9999,,,,,,,,,894.639,,,,,,,,,,-90536.60147,-1310279.928
-9.044908892,-131.0278742,8.99505,9,-9999,-9999,,,,,,,,,895.87,,,,,,,,,,-90449.08892,-1310278.742
-9.03615495,-131.0277559,8.99224,9,-9999,-9999,,,,,,,,,896.971,,,,,,,,,,-90361.5495,-1310277.559
-9.02740275,-131.027623,8.98952,9,-9999,-9999,,,,,,,,,898.211,,,,,,,,,,-90274.0275,-1310276.23
-9.018640365,-131.0274948,8.98668,9,-9999,-9999,,,,,,,,,898.976,,,,,,,,,,-90186.40365,-1310274.948
-9.009872494,-131.0273792,8.98374,9,-9999,-9999,,,,,,,,,899.571,,,,,,,,,,-90098.72494,-1310273.792
-9.001102113,-131.0272707,8.98172,9,-9999,-9999,,,,,,,,,899.776,,,,,,,,,,-90011.02113,-1310272.707
-8.992330962,-131.0271661,8.9808,9,-9999,-9999,,,,,,,,,900.42,,,,,,,,,,-89923.30962,-1310271.661
-8.983556075,-131.0270556,8.98031,9,-9999,-9999,,,,,,,,,900.865,,,,,,,,,,-89835.56075,-1310270.556
-8.974767427,-131.0269408,8.98039,9,-9999,-9999,,,,,,,,,900.982,,,,,,,,,,-89747.67427,-1310269.408
-8.96596985,-131.0268222,8.98228,9,-9999,-9999,,,,,,,,,901.259,,,,,,,,,,-89659.6985,-1310268.222
-8.957162042,-131.0266996,8.98552,9,-9999,-9999,,,,,,,,,901.295,,,,,,,,,,-89571.62042,-1310266.996
-8.948341842,-131.0265801,8.98847,9,-9999,-9999,,,,,,,,,900.864,,,,,,,,,,-89483.41842,-1310265.801
-8.939512136,-131.0264698,8.99134,9,-9999,-9999,,,,,,,,,900.713,,,,,,,,,,-89395.12136,-1310264.698
-8.930669183,-131.0263547,8.99479,9,-9999,-9999,,,,,,,,,900.993,,,,,,,,,,-89306.69183,-1310263.547
-8.921805578,-131.0262437,8.99849,9,-9999,-9999,,,,,,,,,901.032,,,,,,,,,,-89218.05578,-1310262.437
-8.912915688,-131.0261394,9.00147,9,-9999,-9999,,,,,,,,,900.371,,,,,,,,,,-89129.15688,-1310261.394
