Line,UTCDate,UTCsod,UTCTime,unixTime,Latitude,Longitude,H_Ell,Pitch,Roll,Heading,X_EPSG_3031,Y_EPSG_3031,X,Y,Dist_meters,Dist_km,unix_sec,StartEnd
L20,2016/12/02,85909.13,23:51:49,1480722709.13,-85.4636605133,-159.076459089,882.385,4.395852,-5.788538,90.290545,-176108.040931926,-460613.416342322,-17.6108040931926,-46.0613416342322,0,0,1480722709,1
L20,2016/12/03,1263,00:21:03,1480724463,-84.8099316187,-144.666725084,862.219,3.885199,15.935989,60.240224,-326343.17167985,-460343.874886362,-32.634317167985,-46.0343874886362,150235.372544026,150.235372544026,1480724463,1
L50,2016/12/02,84047.7,23:20:48,1480720847.7,-84.7178975427,-148.710322747,856.111,4.184628,-3.286228,-149.729066,-298273.341156074,-490772.628518405,-29.8273341156074,-49.0772628518405,0,0,1480720847,1
L50,2016/12/02,85488,23:44:48,1480722288,-85.2641309287,-162.170632315,871.744,5.005974,-28.175341,-125.720628,-157636.953979725,-490118.377426347,-15.7636953979725,-49.0118377426347,140637.908980855,140.637908980855,1480722288,1
L70,2017/11/28,3216.405,00:53:36,1511830416.405,-85.0894723654,-162.685257646,771.282,3.707883108,-4.8432474103,72.7735515407,-158886.039760212,-509662.427527856,-15.8886039760212,-50.9662427527856,0,0,1511830416,1
L70,2017/11/28,4683,01:18:03,1511831883,-84.652829239,-151.43171844,737.781,3.3560945554,-16.8854157268,61.2029334167,-278023.1563774,-510602.896998772,-27.80231563774,-51.0602896998772,119140.828596595,119.140828596595,1511831883,1
L80,2016/12/02,81965.945,22:46:06,1480718765.945,-85.0286787097,-164.425223937,855.5,4.426591,-3.383096,107.206212,-145114.344084624,-520625.967364703,-14.5114344084624,-52.0625967364703,0,0,1480718765,1
L80,2016/12/02,83470,23:11:10,1480720270,-84.6100503956,-152.435630234,836.95,3.851108,-2.202903,92.045935,-271189.762385373,-519524.798913444,-27.1189762385373,-51.9524798913444,126080.227124109,126.080227124109,1480720270,1
L100,2017/11/28,1222.905,00:20:23,1511828422.905,-84.5012936185,-154.67756128,749.812,4.4766386057,3.1268316249,-116.448238745,-255723.945564439,-540440.286185033,-25.5723945564439,-54.0440286185033,0,0,1511828422,1
L100,2017/11/28,2518,00:41:58,1511829718,-84.9031461476,-166.864466779,782.361,3.581971707,1.2885133263,-110.748416378,-125930.416222953,-539637.475224038,-12.5930416222953,-53.9637475224038,129796.012128101,129.796012128101,1511829718,1
L110,2016/12/02,80169.41,22:16:09,1480716969.41,-84.4463587572,-155.681973506,827.665,4.333213,-2.039233,-120.2527,-248674.513079781,-550291.309570265,-24.8674513079781,-55.0291309570265,0,0,1480716969,1
L110,2016/12/02,81450,22:37:30,1480718250,-84.8226503815,-167.821438571,840.937,5.322618,-20.601655,-110.736686,-118748.702862104,-550231.177925042,-11.8748702862103,-55.0231177925042,129925.824132598,129.925824132598,1480718250,1
L130,2017/11/27,85435.255,23:43:55,1511826235.255,-84.6604208885,-168.71708702,763.537,4.5850372041,-7.7543394615,75.4386202466,-113589.017769605,-569341.102078155,-11.3589017769605,-56.9341102078155,0,0,1511826235,1
