Name, Position, Scale, Rotation
L290;(9.738, -1.750, -73.028);(6.105, 5.500, 0.010);(0.000, 0.000, 0.000)
L310;(11.932, -1.750, -75.011);(9.873, 5.500, 0.010);(0.000, 0.000, 0.000)
L330;(12.212, -1.750, -77.025);(7.861, 5.500, 0.010);(0.000, 0.000, 0.000)
L350;(13.743, -1.750, -78.999);(9.837, 5.500, 0.010);(0.000, 0.000, 0.000)
L360;(14.007, -1.750, -80.026);(7.863, 5.500, 0.010);(0.000, 0.000, 0.000)
L370;(14.007, -1.750, -81.026);(7.276, 5.500, 0.010);(0.000, 0.000, 0.000)
L380;(14.585, -1.750, -82.015);(6.881, 5.500, 0.010);(0.000, 0.000, 0.000)
L390;(15.952, -1.750, -83.021);(9.595, 5.500, 0.010);(0.000, 0.000, 0.000)
L400;(15.312, -1.750, -84.018);(7.212, 5.500, 0.010);(0.000, 0.000, 0.000)
L410;(15.591, -1.750, -85.021);(6.968, 5.500, 0.010);(0.000, 0.000, 0.000)
L450;(16.402, -1.750, -89.030);(7.718, 5.500, 0.010);(0.000, 0.000, 0.000)
L460;(16.320, -1.750, -90.010);(7.163, 5.500, 0.010);(0.000, 0.000, 0.000)
L470;(16.872, -1.750, -91.031);(8.127, 5.500, 0.010);(0.000, 0.000, 0.000)
L520;(17.589, -1.750, -96.016);(8.485, 5.500, 0.010);(0.000, 0.000, 0.000)
L530;(16.922, -1.750, -97.019);(7.306, 5.500, 0.010);(0.000, 0.000, 0.000)
L540;(16.804, -1.750, -98.018);(7.140, 5.500, 0.010);(0.000, 0.000, 0.000)
L550;(16.421, -1.750, -99.021);(7.085, 5.500, 0.010);(0.000, 0.000, 0.000)
L570;(15.709, -1.750, -101.024);(6.337, 5.500, 0.010);(0.000, 0.000, 0.000)
L590;(15.425, -1.750, -103.032);(5.958, 5.500, 0.010);(0.000, 0.000, 0.000)
L600;(15.018, -1.750, -104.034);(6.229, 5.500, 0.010);(0.000, 0.000, 0.000)
L610;(14.941, -1.750, -105.027);(6.393, 5.500, 0.010);(0.000, 0.000, 0.000)
L630;(14.404, -1.750, -107.023);(7.379, 5.500, 0.010);(0.000, 0.000, 0.000)
L660;(13.220, -1.750, -110.038);(5.698, 5.500, 0.010);(0.000, 0.000, 0.000)
L680;(12.641, -1.750, -112.027);(5.687, 5.500, 0.010);(0.000, 0.000, 0.000)
L720;(12.449, -1.750, -116.024);(6.289, 5.500, 0.010);(0.000, 0.000, 0.000)
L740;(11.923, -1.750, -118.032);(6.548, 5.500, 0.010);(0.000, 0.000, 0.000)
L790;(10.571, -1.750, -123.016);(5.187, 5.500, 0.010);(0.000, 0.000, 0.000)
L800;(10.751, -1.750, -124.039);(5.097, 5.500, 0.010);(0.000, 0.000, 0.000)
L810;(10.856, -1.750, -125.027);(5.440, 5.500, 0.010);(0.000, 0.000, 0.000)
L820;(10.573, -1.750, -126.026);(4.384, 5.500, 0.010);(0.000, 0.000, 0.000)
L830;(10.614, -1.750, -127.024);(4.989, 5.500, 0.010);(0.000, 0.000, 0.000)
L840;(10.182, -1.750, -128.014);(4.154, 5.500, 0.001);(0.000, 0.000, 0.000)
L850;(9.864, -1.750, -129.029);(3.596, 5.500, 0.010);(0.000, 0.000, 0.000)
L860;(10.420, -1.750, -130.024);(4.530, 5.500, 0.010);(0.000, 0.000, 0.000)
L870;(10.117, -1.750, -131.020);(4.079, 5.500, 0.010);(0.000, 0.000, 0.000)
L880;(9.998, -1.750, -132.026);(4.252, 5.500, 0.010);(0.000, 0.000, 0.000)
L890;(9.763, -1.750, -133.018);(3.938, 5.500, 0.010);(0.000, 0.000, 0.000)

