LineNum,LineFull,SCALE_X_ESPG_3031,SCALE_Y_ESPG_3031,SCALE_Dice_SurfElev,,X_EPSG_3031,Y_EPSG_3031,DICE_SurfElev
L440,L440:3004,-51.00911172,-87.77502436,,-9999,-510091.1172,-877750.2436,
L440,L440:3004,-51.00829812,-87.7756864,,-9999,-510082.9812,-877756.864,
L440,L440:3004,-51.00088944,-87.7816925,,-9999,-510008.8944,-877816.925,
L440,L440:3004,-50.99345903,-87.78767711,,-9999,-509934.5903,-877876.7711,
L440,L440:3004,-50.98599737,-87.79362935,,-9999,-509859.9737,-877936.2935,
L440,L440:3004,-50.97848348,-87.79952498,,-9999,-509784.8348,-877995.2498,
L440,L440:3004,-50.97089237,-87.80533515,,-9999,-509708.9237,-878053.3515,
L440,L440:3004,-50.96320909,-87.8110399,,-9999,-509632.0909,-878110.399,
L440,L440:3004,-50.95542546,-87.81662671,,-9999,-509554.2546,-878166.2671,
L440,L440:3004,-50.94753983,-87.8220923,,-9999,-509475.3983,-878220.923,
L440,L440:3004,-50.93955985,-87.82744377,,-9999,-509395.5985,-878274.4377,
L440,L440:3004,-50.93150158,-87.8327005,,-9999,-509315.0158,-878327.005,
L440,L440:3004,-50.92338225,-87.83788431,,-9999,-509233.8225,-878378.8431,
L440,L440:3004,-50.91521521,-87.84301092,,-9999,-509152.1521,-878430.1092,
L440,L440:3004,-50.90700953,-87.8480909,,-9999,-509070.0953,-878480.909,
L440,L440:3004,-50.89876726,-87.85312627,,-9999,-508987.6726,-878531.2627,
L440,L440:3004,-50.89048545,-87.85811422,,-9999,-508904.8545,-878581.1422,
L440,L440:3004,-50.88216512,-87.86305923,,-9999,-508821.6512,-878630.5923,
L440,L440:3004,-50.87381255,-87.86797047,,-9999,-508738.1255,-878679.7047,
L440,L440:3004,-50.86542714,-87.87284438,,-9999,-508654.2714,-878728.4438,
L440,L440:3004,-50.85700262,-87.87766863,,-9999,-508570.0262,-878776.6863,
L440,L440:3004,-50.84853893,-87.88244194,,-9999,-508485.3893,-878824.4194,
L440,L440:3004,-50.84003347,-87.88715952,,-9999,-508400.3347,-878871.5952,
L440,L440:3004,-50.83148282,-87.89181441,,-9999,-508314.8282,-878918.1441,
L440,L440:3004,-50.82288812,-87.89640814,,-9999,-508228.8812,-878964.0814,
L440,L440:3004,-50.81425577,-87.90095152,,-9999,-508142.5577,-879009.5152,
L440,L440:3004,-50.80559635,-87.90545957,,-9999,-508055.9635,-879054.5957,
L440,L440:3004,-50.79691701,-87.90994293,,-9999,-507969.1701,-879099.4293,
L440,L440:3004,-50.78821055,-87.9143871,,-9999,-507882.1055,-879143.871,
L440,L440:3004,-50.77947456,-87.91878415,,-9999,-507794.7456,-879187.8415,
L440,L440:3004,-50.77070682,-87.9231263,,-9999,-507707.0682,-879231.263,
L440,L440:3004,-50.76190537,-87.92741103,,-9999,-507619.0537,-879274.1103,
L440,L440:3004,-50.75305859,-87.93162026,,-9999,-507530.5859,-879316.2026,
L440,L440:3004,-50.74414371,-87.93571006,,-9999,-507441.4371,-879357.1006,
L440,L440:3004,-50.73514983,-87.93965045,,-9999,-507351.4983,-879396.5045,
L440,L440:3004,-50.72607231,-87.94342461,,-9999,-507260.7231,-879434.2461,
L440,L440:3004,-50.71690076,-87.94700639,,-9999,-507169.0076,-879470.0639,
L440,L440:3004,-50.70763063,-87.95037572,,-9999,-507076.3063,-879503.7572,
L440,L440:3004,-50.6982682,-87.95353776,,-9999,-506982.682,-879535.3776,
L440,L440:3004,-50.68881988,-87.95649598,,-9999,-506888.1988,-879564.9598,
L440,L440:3004,-50.67928671,-87.95923584,,-9999,-506792.8671,-879592.3584,
L440,L440:3004,-50.66967405,-87.96175065,,-9999,-506696.7405,-879617.5065,
L440,L440:3004,-50.65999051,-87.96404536,,-9999,-506599.9051,-879640.4536,
L440,L440:3004,-50.65024339,-87.96612711,,-9999,-506502.4339,-879661.2711,
L440,L440:3004,-50.64044134,-87.96800818,,-9999,-506404.4134,-879680.0818,
L440,L440:3004,-50.63059465,-87.96971209,,-9999,-506305.9465,-879697.1209,
L440,L440:3004,-50.62071315,-87.97127045,,-9999,-506207.1315,-879712.7045,
L440,L440:3004,-50.61080658,-87.97271558,,-9999,-506108.0658,-879727.1558,
L440,L440:3004,-50.60088052,-87.97406558,,-9999,-506008.8052,-879740.6558,
L440,L440:3004,-50.59093847,-87.97532787,,-9999,-505909.3847,-879753.2787,
L440,L440:3004,-50.5809817,-87.97649899,,-9999,-505809.817,-879764.9899,
L440,L440:3004,-50.57100971,-87.97756638,,-9999,-505710.0971,-879775.6638,
L440,L440:3004,-50.56102194,-87.97851934,,-9999,-505610.2194,-879785.1934,
L440,L440:3004,-50.55101919,-87.97935374,,-9999,-505510.1919,-879793.5374,
L440,L440:3004,-50.54100258,-87.98006984,,-9999,-505410.0258,-879800.6984,
L440,L440:3004,-50.53097321,-87.98067549,,-9999,-505309.7321,-879806.7549,
L440,L440:3004,-50.52093317,-87.98118495,,-9999,-505209.3317,-879811.8495,
L440,L440:3004,-50.51088498,-87.9816187,,-9999,-505108.8498,-879816.187,
L440,L440:3004,-50.5008307,-87.9819963,,-9999,-505008.307,-879819.963,
L440,L440:3004,-50.49077245,-87.98233275,,-9999,-504907.7245,-879823.3275,
L440,L440:3004,-50.4807126,-87.98263811,,-9999,-504807.126,-879826.3811,
L440,L440:3004,-50.47065121,-87.98292083,,-9999,-504706.5121,-879829.2083,
L440,L440:3004,-50.46058807,-87.98318412,,-9999,-504605.8807,-879831.8412,
L440,L440:3004,-50.45052325,-87.98342987,,-9999,-504505.2325,-879834.2987,
L440,L440:3004,-50.4404573,-87.9836598,,-9999,-504404.573,-879836.598,
L440,L440:3004,-50.43039012,-87.9838752,,-9999,-504303.9012,-879838.752,
L440,L440:3004,-50.42032131,-87.98407654,,-9999,-504203.2131,-879840.7654,
L440,L440:3004,-50.41025064,-87.98426291,,-9999,-504102.5064,-879842.6291,
L440,L440:3004,-50.40017856,-87.98443456,,-9999,-504001.7856,-879844.3456,
L440,L440:3004,-50.39010479,-87.98459458,,-9999,-503901.0479,-879845.9458,
L440,L440:3004,-50.38002914,-87.9847449,,-9999,-503800.2914,-879847.449,
L440,L440:3004,-50.36995117,-87.98488616,,-9999,-503699.5117,-879848.8616,
L440,L440:3004,-50.35987066,-87.9850206,,-9999,-503598.7066,-879850.206,
L440,L440:3004,-50.3497883,-87.98515077,,-9999,-503497.883,-879851.5077,
L440,L440:3004,-50.33970497,-87.98527951,,-9999,-503397.0497,-879852.7951,
L440,L440:3004,-50.32962023,-87.98540924,,-9999,-503296.2023,-879854.0924,
L440,L440:3004,-50.31953442,-87.98554007,,-9999,-503195.3442,-879855.4007,
L440,L440:3004,-50.30944824,-87.98567188,,-9999,-503094.4824,-879856.7188,
L440,L440:3004,-50.2993611,-87.98580363,,-9999,-502993.611,-879858.0363,
L440,L440:3004,-50.28927328,-87.98593649,,-9999,-502892.7328,-879859.3649,
L440,L440:3004,-50.27918575,-87.98606933,,-9999,-502791.8575,-879860.6933,
L440,L440:3004,-50.2690988,-87.98619989,,-9999,-502690.988,-879861.9989,
L440,L440:3004,-50.259012,-87.98632606,,-9999,-502590.12,-879863.2606,
L440,L440:3004,-50.24892472,-87.98644746,,-9999,-502489.2472,-879864.4746,
L440,L440:3004,-50.23883739,-87.98656624,,-9999,-502388.3739,-879865.6624,
L440,L440:3004,-50.22875046,-87.98668307,,-9999,-502287.5046,-879866.8307,
L440,L440:3004,-50.21866361,-87.98679653,,-9999,-502186.6361,-879867.9653,
L440,L440:3004,-50.2085765,-87.98690584,0.477529739,0.477529739,-502085.765,-879869.0584,47.75297389
L440,L440:3004,-50.19848865,-87.98701176,0.467306054,0.467306054,-501984.8865,-879870.1176,46.73060536
L440,L440:3004,-50.18839962,-87.98711494,0.466116068,0.466116068,-501883.9962,-879871.1494,46.6116068
L440,L440:3004,-50.17830973,-87.98721819,0.474672293,0.474672293,-501783.0973,-879872.1819,47.46722927
L440,L440:3004,-50.1682198,-87.98732476,0.433337074,0.433337074,-501682.198,-879873.2476,43.33370736
L440,L440:3004,-50.15813004,-87.98743622,0.462077454,0.462077454,-501581.3004,-879874.3622,46.20774537
L440,L440:3004,-50.14804014,-87.98755191,0.460946223,0.460946223,-501480.4014,-879875.5191,46.09462229
L440,L440:3004,-50.13794968,-87.98767027,0.459912804,0.459912804,-501379.4968,-879876.7027,45.99128037
L440,L440:3004,-50.12785821,-87.98778899,0.448952899,0.448952899,-501278.5821,-879877.8899,44.89528991
L440,L440:3004,-50.11776534,-87.98790631,0.447861983,0.447861983,-501177.6534,-879879.0631,44.78619833
L440,L440:3004,-50.10767145,-87.98802211,0.436859779,0.436859779,-501076.7145,-879880.2211,43.6859779
L440,L440:3004,-50.09757694,-87.98813445,0.436219129,0.436219129,-500975.7694,-879881.3445,43.62191293
L440,L440:3004,-50.08748183,-87.98824279,0.396246866,0.396246866,-500874.8183,-879882.4279,39.62468655
L440,L440:3004,-50.07738588,-87.98834624,0.436508835,0.436508835,-500773.8588,-879883.4624,43.65088346
L440,L440:3004,-50.06728854,-87.98844298,0.426673035,0.426673035,-500672.8854,-879884.4298,42.66730346
L440,L440:3004,-50.05718916,-87.9885333,0.396301025,0.396301025,-500571.8916,-879885.333,39.63010249
L440,L440:3004,-50.04708831,-87.98862087,0.425517699,0.425517699,-500470.8831,-879886.2087,42.55176992
L440,L440:3004,-50.03698618,-87.98870888,0.424667404,0.424667404,-500369.8618,-879887.0888,42.46674039
L440,L440:3004,-50.02688309,-87.98880016,0.393885725,0.393885725,-500268.8309,-879888.0016,39.38857246
L440,L440:3004,-50.01677906,-87.98889654,0.433115219,0.433115219,-500167.7906,-879888.9654,43.31152191
L440,L440:3004,-50.00667432,-87.98899653,0.432806454,0.432806454,-500066.7432,-879889.9653,43.28064543
L440,L440:3004,-49.99656803,-87.98909751,0.442694444,0.442694444,-499965.6803,-879890.9751,44.26944441
L440,L440:3004,-49.98645923,-87.98919833,0.402797815,0.402797815,-499864.5923,-879891.9833,40.27978151
L440,L440:3004,-49.97634813,-87.98929753,0.4428934,0.4428934,-499763.4813,-879892.9753,44.28933995
L440,L440:3004,-49.96623491,-87.9893946,0.453042144,0.453042144,-499662.3491,-879893.946,45.30421443
L440,L440:3004,-49.95612003,-87.98949059,0.453431364,0.453431364,-499561.2003,-879894.9059,45.34313642
L440,L440:3004,-49.94600339,-87.98958525,0.44382766,0.44382766,-499460.0339,-879895.8525,44.38276599
L440,L440:3004,-49.93588436,-87.98967716,0.463921299,0.463921299,-499358.8436,-879896.7716,46.39212987
L440,L440:3004,-49.92576232,-87.98976619,0.473659334,0.473659334,-499257.6232,-879897.6619,47.36593337
L440,L440:3004,-49.91563812,-87.98985198,0.433488354,0.433488354,-499156.3812,-879898.5198,43.34883543
L440,L440:3004,-49.90551199,-87.98993642,0.483061063,0.483061063,-499055.1199,-879899.3642,48.30610633
L440,L440:3004,-49.89538424,-87.9900195,0.482657943,0.482657943,-498953.8424,-879900.195,48.26579431
L440,L440:3004,-49.88525478,-87.99010149,0.472079098,0.472079098,-498852.5478,-879901.0149,47.20790979
