LineNum,LineFull,SCALE_X_ESPG_3031,SCALE_Y_ESPG_3031,SCALE_Dice_SurfElev,,X_EPSG_3031,Y_EPSG_3031,DICE_SurfElev
T1130,T1130:3004,27.64568322,-130.5833267,,-9999,276456.8322,-1305833.267,
T1130,T1130:3004,27.64558064,-130.5758588,,-9999,276455.8064,-1305758.588,
T1130,T1130:3004,27.64544152,-130.566814,,-9999,276454.4152,-1305668.14,
T1130,T1130:3004,27.64529504,-130.5577766,,-9999,276452.9504,-1305577.766,
T1130,T1130:3004,27.64514748,-130.5487465,,-9999,276451.4748,-1305487.465,
T1130,T1130:3004,27.64500152,-130.5397243,-0.376664875,-0.376664875,276450.0152,-1305397.243,-37.66648748
T1130,T1130:3004,27.64485699,-130.5307098,-0.414886149,-0.414886149,276448.5699,-1305307.098,-41.48861494
T1130,T1130:3004,27.64471446,-130.5217026,-1.352521862,-1.352521862,276447.1446,-1305217.026,-135.2521862
T1130,T1130:3004,27.64457174,-130.5127029,-0.422145275,-0.422145275,276445.7174,-1305127.029,-42.21452746
T1130,T1130:3004,27.64442671,-130.503711,-1.340109932,-1.340109932,276444.2671,-1305037.11,-134.0109932
T1130,T1130:3004,27.64427968,-130.4947265,-1.758157833,-1.758157833,276442.7968,-1304947.265,-175.8157833
T1130,T1130:3004,27.64413166,-130.485749,-0.427750044,-0.427750044,276441.3166,-1304857.49,-42.77500441
T1130,T1130:3004,27.64398213,-130.4767781,-0.346375956,-0.346375956,276439.8213,-1304767.781,-34.6375956
T1130,T1130:3004,27.643832,-130.467813,-0.425139229,-0.425139229,276438.32,-1304678.13,-42.51392294
T1130,T1130:3004,27.64368276,-130.4588537,-2.792121569,-2.792121569,276436.8276,-1304588.537,-279.2121569
T1130,T1130:3004,27.64353565,-130.4498989,-0.383179711,-0.383179711,276435.3565,-1304498.989,-38.31797106
T1130,T1130:3004,27.64339044,-130.4409478,-0.422180775,-0.422180775,276433.9044,-1304409.478,-42.21807746
T1130,T1130:3004,27.64324635,-130.4320011,-0.410913314,-0.410913314,276432.4635,-1304320.011,-41.09133145
T1130,T1130:3004,27.64310176,-130.4230589,-0.339336376,-0.339336376,276431.0176,-1304230.589,-33.93363756
T1130,T1130:3004,27.64295595,-130.4141203,-0.337791541,-0.337791541,276429.5595,-1304141.203,-33.7791541
T1130,T1130:3004,27.64280761,-130.4051843,-0.326994072,-0.326994072,276428.0761,-1304051.843,-32.69940715
T1130,T1130:3004,27.64265752,-130.3962507,-0.326698552,-0.326698552,276426.5752,-1303962.507,-32.66985516
T1130,T1130:3004,27.64251078,-130.3873198,-0.356371301,-0.356371301,276425.1078,-1303873.198,-35.6371301
T1130,T1130:3004,27.64237245,-130.3783916,-0.326121962,-0.326121962,276423.7245,-1303783.916,-32.61219618
T1130,T1130:3004,27.64224611,-130.3694657,-0.326081072,-0.326081072,276422.4611,-1303694.657,-32.60810719
T1130,T1130:3004,27.64213575,-130.3605402,-0.405555375,-0.405555375,276421.3575,-1303605.402,-40.55553746
T1130,T1130:3004,27.64204405,-130.3516142,-0.334402956,-0.334402956,276420.4405,-1303516.142,-33.44029558
T1130,T1130:3004,27.64197184,-130.3426866,-0.332944035,-0.332944035,276419.7184,-1303426.866,-33.29440355
T1130,T1130:3004,27.64191846,-130.333757,-0.331028835,-0.331028835,276419.1846,-1303337.57,-33.1028835
T1130,T1130:3004,27.64188271,-130.3248265,-0.327613874,-0.327613874,276418.8271,-1303248.265,-32.76138744
T1130,T1130:3004,27.64186042,-130.3158948,-0.324125739,-0.324125739,276418.6042,-1303158.948,-32.41257388
T1130,T1130:3004,27.64184874,-130.3069622,-0.390209757,-0.390209757,276418.4874,-1303069.622,-39.02097572
T1130,T1130:3004,27.64184055,-130.2980288,-0.325781788,-0.325781788,276418.4055,-1302980.288,-32.5781788
T1130,T1130:3004,27.64183181,-130.2890945,-0.331177278,-0.331177278,276418.3181,-1302890.945,-33.11772778
T1130,T1130:3004,27.64182044,-130.2801581,-0.326689198,-0.326689198,276418.2044,-1302801.581,-32.66891979
T1130,T1130:3004,27.64180528,-130.2712203,-0.332223553,-0.332223553,276418.0528,-1302712.203,-33.22235529
T1130,T1130:3004,27.64178633,-130.2622805,-0.328193418,-0.328193418,276417.8633,-1302622.805,-32.81934182
T1130,T1130:3004,27.64176557,-130.2533384,-0.324454553,-0.324454553,276417.6557,-1302533.384,-32.44545533
T1130,T1130:3004,27.64174633,-130.2443941,-0.320910559,-0.320910559,276417.4633,-1302443.941,-32.09105586
T1130,T1130:3004,27.64173262,-130.2354472,-0.327040038,-0.327040038,276417.3262,-1302354.472,-32.70400385
T1130,T1130:3004,27.64172671,-130.2264964,-0.313949573,-0.313949573,276417.2671,-1302264.964,-31.39495731
T1130,T1130:3004,27.64173216,-130.2175418,-0.311239119,-0.311239119,276417.3216,-1302175.418,-31.12391193
T1130,T1130:3004,27.64174775,-130.2085836,-0.308563769,-0.308563769,276417.4775,-1302085.836,-30.85637687
T1130,T1130:3004,27.64177299,-130.1996221,-0.305604549,-0.305604549,276417.7299,-1301996.221,-30.56045485
T1130,T1130:3004,27.6418062,-130.1906578,-0.302540114,-0.302540114,276418.062,-1301906.578,-30.25401144
T1130,T1130:3004,27.64184342,-130.1816882,-0.310242544,-0.310242544,276418.4342,-1301816.882,-31.02425443
T1130,T1130:3004,27.64188345,-130.1727126,-0.308258724,-0.308258724,276418.8345,-1301727.126,-30.82587243
T1130,T1130:3004,27.64192401,-130.1637317,-0.305927704,-0.305927704,276419.2401,-1301637.317,-30.59277037
T1130,T1130:3004,27.6419631,-130.1547446,-0.303606189,-0.303606189,276419.631,-1301547.446,-30.36061889
T1130,T1130:3004,27.64200001,-130.1457503,-0.291541015,-0.291541015,276420.0001,-1301457.503,-29.15410151
T1130,T1130:3004,27.64203663,-130.1367484,-0.300414245,-0.300414245,276420.3663,-1301367.484,-30.04142454
T1130,T1130:3004,27.64207345,-130.1277389,-0.309606565,-0.309606565,276420.7345,-1301277.389,-30.96065653
T1130,T1130:3004,27.64211084,-130.1187214,-0.31895004,-0.31895004,276421.1084,-1301187.214,-31.89500402
T1130,T1130:3004,27.64215142,-130.1096954,-0.32870521,-0.32870521,276421.5142,-1301096.954,-32.87052104
T1130,T1130:3004,27.64219695,-130.1006606,-0.419046859,-0.419046859,276421.9695,-1301006.606,-41.90468592
T1130,T1130:3004,27.64225012,-130.0916171,-0.340058191,-0.340058191,276422.5012,-1300916.171,-34.00581912
T1130,T1130:3004,27.64231124,-130.0825653,-0.321625837,-0.321625837,276423.1124,-1300825.653,-32.16258373
T1130,T1130:3004,27.64237891,-130.0735063,-0.323662693,-0.323662693,276423.7891,-1300735.063,-32.36626926
T1130,T1130:3004,27.64245159,-130.0644411,-0.326283028,-0.326283028,276424.5159,-1300644.411,-32.62830275
T1130,T1130:3004,27.64252806,-130.0553708,-0.328507973,-0.328507973,276425.2806,-1300553.708,-32.85079729
T1130,T1130:3004,27.64260628,-130.0462959,-0.330345182,-0.330345182,276426.0628,-1300462.959,-33.03451823
T1130,T1130:3004,27.64268506,-130.0372175,-0.331643846,-0.331643846,276426.8506,-1300372.175,-33.16438464
T1130,T1130:3004,27.64276606,-130.0281361,-0.332447831,-0.332447831,276427.6606,-1300281.361,-33.24478312
T1130,T1130:3004,27.64284862,-130.0190514,-0.332853581,-0.332853581,276428.4862,-1300190.514,-33.28535808
T1130,T1130:3004,27.64293415,-130.0099637,-0.322687765,-0.322687765,276429.3415,-1300099.637,-32.26877649
T1130,T1130:3004,27.64302374,-130.0008747,-0.321516469,-0.321516469,276430.2374,-1300008.747,-32.1516469
T1130,T1130:3004,27.64311764,-129.9917863,-0.319456129,-0.319456129,276431.1764,-1299917.863,-31.94561286
T1130,T1130:3004,27.64321503,-129.9826986,-0.317255494,-0.317255494,276432.1503,-1299826.986,-31.72554936
T1130,T1130:3004,27.64331306,-129.9736108,-0.315080554,-0.315080554,276433.1306,-1299736.108,-31.50805542
T1130,T1130:3004,27.64340796,-129.9645228,-0.313471539,-0.313471539,276434.0796,-1299645.228,-31.34715393
T1130,T1130:3004,27.64349724,-129.9554354,-0.312041094,-0.312041094,276434.9724,-1299554.354,-31.20410939
T1130,T1130:3004,27.64357815,-129.9463482,-0.31101735,-0.31101735,276435.7815,-1299463.482,-31.10173499
T1130,T1130:3004,27.64364861,-129.9372605,-0.310593906,-0.310593906,276436.4861,-1299372.605,-31.05939056
T1130,T1130:3004,27.64370861,-129.928173,-0.320745181,-0.320745181,276437.0861,-1299281.73,-32.07451809
T1130,T1130:3004,27.64376132,-129.9190859,-0.321561046,-0.321561046,276437.6132,-1299190.859,-32.15610462
T1130,T1130:3004,27.64380854,-129.9099996,-0.322490622,-0.322490622,276438.0854,-1299099.996,-32.24906224
T1130,T1130:3004,27.64385359,-129.9009144,-0.323762348,-0.323762348,276438.5359,-1299009.144,-32.37623477
T1130,T1130:3004,27.64389796,-129.891829,-0.326204474,-0.326204474,276438.9796,-1298918.29,-32.62044741
T1130,T1130:3004,27.64394115,-129.8827421,-0.320020409,-0.320020409,276439.4115,-1298827.421,-32.00204092
T1130,T1130:3004,27.6439835,-129.8736535,-0.32325644,-0.32325644,276439.835,-1298736.535,-32.32564398
T1130,T1130:3004,27.64402637,-129.8645624,-0.32685768,-0.32685768,276440.2637,-1298645.624,-32.68576802
T1130,T1130:3004,27.64407378,-129.8554678,-0.34096268,-0.34096268,276440.7378,-1298554.678,-34.09626802
T1130,T1130:3004,27.64412915,-129.84637,-0.345154345,-0.345154345,276441.2915,-1298463.7,-34.51543453
T1130,T1130:3004,27.64418948,-129.8372693,-0.348891624,-0.348891624,276441.8948,-1298372.693,-34.88916241
T1130,T1130:3004,27.64425094,-129.8281655,-0.352246434,-0.352246434,276442.5094,-1298281.655,-35.22464341
T1130,T1130:3004,27.64431282,-129.8190583,-0.365958225,-0.365958225,276443.1282,-1298190.583,-36.59582246
T1130,T1130:3004,27.6443761,-129.8099484,-0.359461344,-0.359461344,276443.761,-1298099.484,-35.9461344
T1130,T1130:3004,27.64444276,-129.8008372,-0.362560643,-0.362560643,276444.4276,-1298008.372,-36.25606431
T1130,T1130:3004,27.64451139,-129.7917248,-0.364580407,-0.364580407,276445.1139,-1297917.248,-36.45804074
T1130,T1130:3004,27.64457841,-129.7826109,-0.366009977,-0.366009977,276445.7841,-1297826.109,-36.60099772
T1130,T1130:3004,27.64464314,-129.7734958,-0.366975206,-0.366975206,276446.4314,-1297734.958,-36.69752062
T1130,T1130:3004,27.64470511,-129.7643801,-0.367607626,-0.367607626,276447.0511,-1297643.801,-36.7607626
T1130,T1130:3004,27.64476622,-129.7552641,-0.367810226,-0.367810226,276447.6622,-1297552.641,-36.78102255
T1130,T1130:3004,27.64482939,-129.7461488,-0.36770111,-0.36770111,276448.2939,-1297461.488,-36.77011101
T1130,T1130:3004,27.64489633,-129.7370346,-0.476959858,-0.476959858,276448.9633,-1297370.346,-47.69598577
T1130,T1130:3004,27.64496711,-129.7279214,-0.366155269,-0.366155269,276449.6711,-1297279.214,-36.61552693
T1130,T1130:3004,27.64504169,-129.7188093,-0.365005324,-0.365005324,276450.4169,-1297188.093,-36.5005324
T1130,T1130:3004,27.64511929,-129.7096985,-0.363297503,-0.363297503,276451.1929,-1297096.985,-36.32975034
T1130,T1130:3004,27.64519745,-129.7005888,-0.351627763,-0.351627763,276451.9745,-1297005.888,-35.16277633
T1130,T1130:3004,27.64527633,-129.69148,-0.379453357,-0.379453357,276452.7633,-1296914.8,-37.94533567
T1130,T1130:3004,27.64535695,-129.6823732,-0.376924717,-0.376924717,276453.5695,-1296823.732,-37.69247168
T1130,T1130:3004,27.64543848,-129.673267,-0.354982979,-0.354982979,276454.3848,-1296732.67,-35.49829787
T1130,T1130:3004,27.64551875,-129.6641608,-0.344235531,-0.344235531,276455.1875,-1296641.608,-34.42355305
T1130,T1130:3004,27.64559493,-129.6550547,-0.344406096,-0.344406096,276455.9493,-1296550.547,-34.4406096
T1130,T1130:3004,27.64566587,-129.6459492,-0.334855352,-0.334855352,276456.6587,-1296459.492,-33.48553518
