name,project,x,z,,y,,,,,x,y,z
antARctica,,20.14995,-134.6330575,,0.1,,,,,201499.5,-1346330.575,0
antARctica,,20.09734,-134.2913825,,0.1,,,,,200973.4,-1342913.825,0
antARctica,,19.9791025,-133.5122075,,0.1,,,,,199791.025,-1335122.075,0
antARctica,,19.8546375,-132.6643075,,0.1,,,,,198546.375,-1326643.075,0
antARctica,,19.7832775,-132.1163825,,0.1,,,,,197832.775,-1321163.825,0
antARctica,,19.7301525,-131.3827875,,0.1,,,,,197301.525,-1313827.875,0
antARctica,,19.6457775,-130.1101325,,0.1,,,,,196457.775,-1301101.325,0
antARctica,,19.5676525,-128.8656,,0.1,,,,,195676.525,-1288656,0
antARctica,,19.5332775,-128.2163825,,0.1,,,,,195332.775,-1282163.825,0
antARctica,,19.57234,-127.700245,,0.1,,,,,195723.4,-1277002.45,0
antARctica,,19.6582775,-126.762255,,0.1,,,,,196582.775,-1267622.55,0
antARctica,,19.744215,-125.8304925,,0.1,,,,,197442.15,-1258304.925,0
antARctica,,19.7832775,-125.333105,,0.1,,,,,197832.775,-1253331.05,0
antARctica,,19.831445,-124.7982175,,0.1,,,,,198314.45,-1247982.175,0
antARctica,,19.9437,-123.766455,,0.1,,,,,199437,-1237664.55,0
antARctica,,20.0715825,-122.6846675,,0.1,,,,,200715.825,-1226846.675,0
antARctica,,20.166625,-121.99978,,0.1,,,,,201666.25,-1219997.8,0
antARctica,,20.22958292,-121.6305531,,0.1,,,,,202295.8292,-1216305.531,0
antARctica,,13.237525,-71.2288825,,0.1,,,,,132375.25,-712288.825,0
antARctica,,13.2094,-71.2575675,,0.1,,,,,132094,-712575.675,0
antARctica,,13.14065,-71.33003,,0.1,,,,,131406.5,-713300.3,0
antARctica,,13.0547125,-71.425915,,0.1,,,,,130547.125,-714259.15,0
antARctica,,12.975025,-71.5248425,,0.1,,,,,129750.25,-715248.425,0
antARctica,,12.89287,-71.634205,,0.1,,,,,128928.7,-716342.05,0
antARctica,,12.798975,-71.756495,,0.1,,,,,127989.75,-717564.95,0
antARctica,,12.716015,-71.863965,,0.1,,,,,127160.15,-718639.65,0
antARctica,,12.666675,-71.9288825,,0.1,,,,,126666.75,-719288.825,0
antARctica,,12.627685,-72.0012825,,0.1,,,,,126276.85,-720012.825,0
antARctica,,12.5734625,-72.1236825,,0.1,,,,,125734.625,-721236.825,0
antARctica,,12.52312,-72.2570075,,0.1,,,,,125231.2,-722570.075,0
antARctica,,12.49585,-72.36222,,0.1,,,,,124958.5,-723622.2,0
antARctica,,12.48108,-72.4654775,,0.1,,,,,124810.8,-724654.775,0
antARctica,,12.4588875,-72.6038825,,0.1,,,,,124588.875,-726038.825,0
antARctica,,12.434325,-72.754785,,0.1,,,,,124343.25,-727547.85,0
antARctica,,12.412525,-72.895545,,0.1,,,,,124125.25,-728955.45,0
antARctica,,12.4061525,-73.10288,,0.1,,,,,124061.525,-731028.8,0
antARctica,,12.417725,-73.404015,,0.1,,,,,124177.25,-734040.15,0
antARctica,,12.43711,-73.70199,,0.1,,,,,124371.1,-737019.9,0
antARctica,,12.454175,-73.899865,,0.1,,,,,124541.75,-738998.65,0
antARctica,,12.5033925,-74.124535,,0.1,,,,,125033.925,-741245.35,0
antARctica,,12.597925,-74.4757825,,0.1,,,,,125979.25,-744757.825,0
antARctica,,12.69558,-74.8161375,,0.1,,,,,126955.8,-748161.375,0
antARctica,,12.754175,-75.00807,,0.1,,,,,127541.75,-750080.7,0
antARctica,,12.8543225,-75.255785,,0.1,,,,,128543.225,-752557.85,0
antARctica,,13.04624,-75.7148325,,0.1,,,,,130462.4,-757148.325,0
antARctica,,13.242065,-76.1746575,,0.1,,,,,132420.65,-761746.575,0
antARctica,,13.3540275,-76.4247325,,0.1,,,,,133540.275,-764247.325,0
antARctica,,13.493385,-76.686645,,0.1,,,,,134933.85,-766866.45,0
antARctica,,13.7494875,-77.170045,,0.1,,,,,137494.875,-771700.45,0
antARctica,,14.00166,-77.64641,,0.1,,,,,140016.6,-776464.1,0
antARctica,,14.1292,-77.8872325,,0.1,,,,,141292,-778872.325,0
antARctica,,14.2882575,-78.1734375,,0.1,,,,,142882.575,-781734.375,0
antARctica,,14.6078625,-78.74558,,0.1,,,,,146078.625,-787455.8,0
antARctica,,14.926685,-79.3146,,0.1,,,,,149266.85,-793146,0
antARctica,,15.0833975,-79.59143,,0.1,,,,,150833.975,-795914.3,0
antARctica,,15.1302,-79.6571775,,0.1,,,,,151302,-796571.775,0
antARctica,,15.2078375,-79.7643425,,0.1,,,,,152078.375,-797643.425,0
antARctica,,15.2878175,-79.880885,,0.1,,,,,152878.175,-798808.85,0
antARctica,,15.34165,-79.9747675,,0.1,,,,,153416.5,-799747.675,0
antARctica,,15.3904775,-80.08297,,0.1,,,,,153904.775,-800829.7,0
antARctica,,15.4604,-80.2341425,,0.1,,,,,154604,-802341.425,0
antARctica,,15.5303225,-80.3837525,,0.1,,,,,155303.225,-803837.525,0
antARctica,,15.57915,-80.4872675,,0.1,,,,,155791.5,-804872.675,0
antARctica,,15.6323975,-80.591955,,0.1,,,,,156323.975,-805919.55,0
antARctica,,15.711425,-80.7435175,,0.1,,,,,157114.25,-807435.175,0
antARctica,,15.788915,-80.89508,,0.1,,,,,157889.15,-808950.8,0
antARctica,,15.837475,-80.9997675,,0.1,,,,,158374.75,-809997.675,0
antARctica,,15.879345,-81.09502,,0.1,,,,,158793.45,-810950.2,0
antARctica,,15.9411375,-81.224255,,0.1,,,,,159411.375,-812242.55,0
antARctica,,16.002125,-81.349585,,0.1,,,,,160021.25,-813495.85,0
antARctica,,16.04165,-81.433105,,0.1,,,,,160416.5,-814331.05,0
